time,lap,compound,stint,s1,s2,s3,life,pos,status,pb,sesT,drv,dNum,pout,pin,s1T,s2T,s3T,vi1,vi2,vfl,vst,fresh,team,lST,lSD,del,delR,ff1G,iacc,wT,wAT,wH,wP,wR,wTT,wWD,wWS
None,1,MEDIUM,1,None,45.506,24.645,6,None,1,False,1222.656,ALO,14,1120.446,None,None,1198.115,1222.656,209.0,223.0,289.0,197.0,False,Aston Martin,1120.446,2026-02-18T07:06:31.132000000,False,None,False,False,770.826,20.4,78.0,1017.5,False,29.0,212,1.5
112.724,2,MEDIUM,1,32.684,51.789,28.251,7,None,1,False,1335.38,ALO,14,None,1333.62,1255.34,1307.129,1335.38,209.0,175.0,None,258.0,False,Aston Martin,1222.656,2026-02-18T07:08:13.342000000,False,None,False,False,950.817,20.8,75.1,1017.3,False,30.7,160,1.1
None,3,MEDIUM,2,None,51.525,28.263,3,None,1,False,2551.415,ALO,14,2438.562,None,None,2523.454,2551.612,196.0,167.0,286.0,178.0,False,Aston Martin,1335.38,2026-02-18T07:10:06.066000000,False,None,False,False,1010.839,20.8,74.3,1017.4,False,29.4,234,1.0
98.699,4,MEDIUM,2,32.072,42.908,23.719,4,None,1,True,2650.114,ALO,14,None,None,2583.487,2626.395,2650.114,225.0,234.0,267.0,296.0,False,Aston Martin,2551.415,2026-02-18T07:30:22.101000000,False,None,False,True,1130.827,20.9,72.7,1017.3,False,30.2,224,0.6
115.134,5,MEDIUM,2,45.315,46.032,23.787,5,None,1,False,2765.248,ALO,14,None,None,2695.429,2741.461,2765.248,142.0,226.0,302.0,144.0,False,Aston Martin,2650.114,2026-02-18T07:32:00.800000000,False,None,False,True,1250.82,20.9,71.7,1017.3,False,30.7,0,0.0
98.38,6,MEDIUM,2,31.053,43.49,23.837,6,None,1,True,2863.628,ALO,14,None,None,2796.301,2839.791,2863.628,213.0,229.0,301.0,297.0,False,Aston Martin,2765.248,2026-02-18T07:33:55.934000000,False,None,False,True,1310.819,21.0,71.7,1017.3,False,30.5,206,0.5
98.472,7,MEDIUM,2,31.101,43.471,23.9,7,None,1,False,2962.1,ALO,14,None,None,2894.729,2938.2,2962.1,213.0,230.0,301.0,298.0,False,Aston Martin,2863.628,2026-02-18T07:35:34.314000000,False,None,False,True,1430.844,21.3,70.4,1017.3,False,31.7,192,1.6
99.136,8,MEDIUM,2,31.208,43.585,24.343,8,None,1,False,3061.236,ALO,14,None,None,2993.308,3036.893,3061.236,213.0,231.0,298.0,297.0,False,Aston Martin,2962.1,2026-02-18T07:37:12.786000000,False,None,False,True,2270.934,22.3,69.0,1017.3,False,32.7,189,1.8
124.232,9,MEDIUM,2,31.565,52.899,39.768,9,None,1,False,3185.468,ALO,14,None,3183.778,3092.801,3145.7,3185.468,212.0,195.0,None,298.0,False,Aston Martin,3061.236,2026-02-18T07:38:51.922000000,False,None,False,False,2390.95,22.4,69.8,1017.2,False,31.4,213,1.8
None,10,MEDIUM,3,None,51.27,27.442,1,None,1,False,3794.96,ALO,14,3683.088,None,None,3767.707,3795.106,205.0,162.0,287.0,180.0,True,Aston Martin,3185.468,2026-02-18T07:40:56.154000000,False,None,False,False,2510.951,22.7,67.8,1017.3,False,31.0,236,1.3
96.536,11,MEDIUM,3,30.592,42.216,23.728,2,None,1,True,3891.496,ALO,14,None,None,3825.552,3867.768,3891.496,228.0,239.0,267.0,304.0,True,Aston Martin,3794.96,2026-02-18T07:51:05.646000000,False,None,False,True,2630.971,22.8,66.3,1017.2,False,33.6,171,1.2
115.067,12,MEDIUM,3,45.746,45.358,23.963,3,None,1,False,4006.563,ALO,14,None,None,3937.242,3982.6,4006.563,193.0,231.0,305.0,141.0,True,Aston Martin,3891.496,2026-02-18T07:52:42.182000000,False,None,False,True,2750.998,22.8,64.4,1017.1,False,33.2,199,1.1
98.234,13,MEDIUM,3,30.801,43.403,24.03,4,None,1,False,4104.797,ALO,14,None,None,4037.364,4080.767,4104.797,213.0,229.0,301.0,302.0,True,Aston Martin,4006.563,2026-02-18T07:54:37.249000000,False,None,False,True,2871.002,23.1,66.7,1017.1,False,32.6,222,2.3
143.167,14,MEDIUM,3,31.153,62.611,49.403,5,None,1,False,4247.964,ALO,14,None,4246.123,4135.95,4198.561,4247.964,212.0,114.0,None,298.0,True,Aston Martin,4104.797,2026-02-18T07:56:15.483000000,False,None,False,False,3831.078,23.4,65.1,1017.0,False,34.8,185,2.4
None,15,MEDIUM,4,None,48.56,27.761,1,None,1,False,5085.553,ALO,14,4976.798,None,None,5058.038,5085.72,206.0,189.0,277.0,180.0,True,Aston Martin,4247.964,2026-02-18T07:58:38.650000000,False,None,False,False,3951.078,23.4,66.2,1017.1,False,34.8,167,0.9
96.659,16,MEDIUM,4,30.554,42.302,23.803,2,None,1,False,5182.212,ALO,14,None,None,5116.107,5158.409,5182.212,229.0,238.0,271.0,313.0,True,Aston Martin,5085.553,2026-02-18T08:12:36.239000000,False,None,False,True,4071.106,23.6,64.1,1017.0,False,34.5,208,2.0
132.516,17,MEDIUM,4,44.586,60.257,27.673,3,None,1,False,5314.728,ALO,14,None,None,5226.798,5287.055,5314.728,162.0,169.0,302.0,148.0,True,Aston Martin,5182.212,2026-02-18T08:14:12.898000000,False,None,False,True,4191.073,23.8,63.1,1017.1,False,34.6,213,1.8
98.051,18,MEDIUM,4,31.001,43.228,23.822,4,None,1,False,5412.779,ALO,14,None,None,5345.729,5388.957,5412.779,214.0,231.0,303.0,297.0,True,Aston Martin,5314.728,2026-02-18T08:16:25.414000000,False,None,False,True,4311.084,23.9,62.2,1017.0,False,35.5,199,2.7
98.415,19,MEDIUM,4,30.946,43.394,24.075,5,None,1,False,5511.194,ALO,14,None,None,5443.725,5487.119,5511.194,214.0,231.0,300.0,301.0,True,Aston Martin,5412.779,2026-02-18T08:18:03.465000000,False,None,False,True,4431.086,23.7,62.5,1017.0,False,35.6,177,1.9
98.897,20,MEDIUM,4,31.116,43.928,23.853,6,None,1,False,5610.091,ALO,14,None,None,5542.31,5586.238,5610.091,214.0,229.0,302.0,299.0,True,Aston Martin,5511.194,2026-02-18T08:19:41.880000000,False,None,False,True,4551.11,23.6,64.5,1016.9,False,35.6,179,2.2
120.935,21,MEDIUM,4,33.804,48.943,38.188,7,None,1,False,5731.026,ALO,14,None,5729.631,5643.895,5692.838,5731.026,194.0,200.0,None,297.0,True,Aston Martin,5610.091,2026-02-18T08:21:20.777000000,False,None,False,False,6111.218,24.9,57.0,1016.4,False,37.1,201,1.7
None,22,MEDIUM,5,None,51.83,27.766,1,None,1,False,7079.636,ALO,14,6966.164,None,None,7052.078,7079.959,204.0,181.0,276.0,177.0,True,Aston Martin,5731.026,2026-02-18T08:23:21.712000000,False,None,False,False,6231.233,25.0,55.1,1016.4,False,37.5,189,1.0
98.166,23,MEDIUM,5,30.476,42.497,25.193,2,None,1,False,7177.802,ALO,14,None,None,7110.112,7152.609,7177.802,228.0,239.0,268.0,307.0,True,Aston Martin,7079.636,2026-02-18T08:45:50.322000000,False,None,False,True,6351.271,25.1,52.4,1016.4,False,37.0,208,1.7
118.322,24,MEDIUM,5,50.269,44.071,23.982,3,None,1,False,7296.124,ALO,14,None,None,7228.071,7272.142,7296.124,216.0,230.0,303.0,149.0,True,Aston Martin,7177.802,2026-02-18T08:47:28.488000000,False,None,False,True,6471.246,25.3,53.5,1016.4,False,36.7,206,1.8
