time,cat,msg,status,flag,scope,sector,dNum,lap
2026-03-27T02:16:09.000000000,Other,PINK HEAD PADDING MATERIAL MUST BE USED,None,None,None,None,None,None
2026-03-27T02:16:09.000000000,Other,PINK HEAD PADDING MATERIAL MUST BE USED,None,None,None,None,None,None
2026-03-27T02:16:45.000000000,Other,RISK OF RAIN FOR F1 FREE PRACTICE 1 IS 0%,None,None,None,None,None,None
2026-03-27T02:27:58.000000000,SafetyCar,VSC DEPLOYED,DEPLOYED,None,None,None,None,None
2026-03-27T02:28:02.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,None,DOUBLE YELLOW,Sector,2.0,None,None
2026-03-27T02:28:04.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,None,DOUBLE YELLOW,Sector,3.0,None,None
2026-03-27T02:30:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-03-27T02:30:22.000000000,Flag,CLEAR IN TRACK SECTOR 2,None,CLEAR,Sector,2.0,None,None
2026-03-27T02:30:23.000000000,Flag,CLEAR IN TRACK SECTOR 3,None,CLEAR,Sector,3.0,None,None
2026-03-27T02:30:41.000000000,SafetyCar,VSC ENDING,ENDING,None,None,None,None,None
2026-03-27T02:30:54.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
2026-03-27T02:41:26.000000000,Other,CAR 41 (LIN) TIME 1:36.978 DELETED - TRACK LIMITS AT TURN 13 LAP 5 11:37:35,None,None,None,None,None,None
2026-03-27T02:55:36.000000000,Other,CAR 1 (NOR) TIME 1:34.595 DELETED - TRACK LIMITS AT TURN 14 LAP 4 11:54:50,None,None,None,None,None,None
2026-03-27T02:59:46.000000000,Other,CAR 63 (RUS) TIME 1:32.084 DELETED - TRACK LIMITS AT TURN 14 LAP 13 11:59:05,None,None,None,None,None,None
2026-03-27T03:02:25.000000000,Other,CAR 41 (LIN) TIME 1:44.059 DELETED - TRACK LIMITS AT TURN 13 LAP 16 12:01:35,None,None,None,None,None,None
2026-03-27T03:03:25.000000000,Other,CAR 30 (LAW) TIME 1:42.669 DELETED - TRACK LIMITS AT TURN 14 LAP 14 12:01:19,None,None,None,None,None,None
2026-03-27T03:04:41.000000000,Other,CAR 23 (ALB) LAP DELETED - TRACK LIMITS AT TURN 9 LAP 14 12:03:22 (PIT),None,None,None,None,None,None
2026-03-27T03:08:16.000000000,Other,CAR 55 (SAI) TIME 2:13.265 DELETED - TRACK LIMITS AT TURN 9 LAP 13 12:06:35,None,None,None,None,None,None
2026-03-27T03:09:20.000000000,Other,CAR 16 (LEC) TIME 1:47.813 DELETED - TRACK LIMITS AT TURN 13 LAP 14 12:07:26,None,None,None,None,None,None
2026-03-27T03:24:12.000000000,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,None,None,None,None,None,None
2026-03-27T03:24:15.000000000,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 28,None,None,None,None,None,None
2026-03-27T03:24:17.000000000,Flag,CLEAR IN TRACK SECTOR 11,None,CLEAR,Sector,11.0,None,None
2026-03-27T03:25:14.000000000,Other,TURN 16 INCIDENT INVOLVING CARS 23 (ALB) AND 11 (PER) NOTED - CAUSING A COLLISION,None,None,None,None,None,None
2026-03-27T03:25:34.000000000,Other,TURN 10 INCIDENT INVOLVING CARS 55 (SAI) AND 30 (LAW) NOTED,None,None,None,None,None,None
2026-03-27T03:26:37.000000000,Other,CAR 81 (PIA) TIME 7:14.192 DELETED - TRACK LIMITS AT TURN 17 LAP 18 12:24:18,None,None,None,None,None,None
2026-03-27T03:26:46.000000000,Other,FIA STEWARDS: TURN 10 INCIDENT INVOLVING CARS 55 (SAI) AND 30 (LAW) WILL BE INVESTIGATED AFTER THE SESSION,None,None,None,None,None,None
2026-03-27T03:26:53.000000000,Other,FIA STEWARDS: TURN 16 INCIDENT INVOLVING CARS 23 (ALB) AND 11 (PER) WILL BE INVESTIGATED AFTER THE SESSION - CAUSING A COLLISION,None,None,None,None,None,None
2026-03-27T03:27:12.000000000,Flag,CLEAR IN TRACK SECTOR 28,None,CLEAR,Sector,28.0,None,None
2026-03-27T03:30:00.000000000,Flag,CHEQUERED FLAG,None,CHEQUERED,Track,None,None,None
2026-03-27T03:30:19.000000000,Other,FIRST CAR TO TAKE THE FLAG - CAR 41 (LIN),None,None,None,None,None,None
2026-03-27T03:33:36.000000000,Other,TURN 15 INCIDENT INVOLVING CARS 44 (HAM) AND 3 (VER) NOTED,None,None,None,None,None,None
2026-03-27T03:34:16.000000000,Other,CAR 3 (VER) TIME 1:37.698 DELETED - TRACK LIMITS AT TURN 13 LAP 23 12:26:07,None,None,None,None,None,None
2026-03-27T03:34:24.000000000,Other,CAR 16 (LEC) TIME 1:50.679 DELETED - TRACK LIMITS AT TURN 9 LAP 13 12:05:13,None,None,None,None,None,None
2026-03-27T03:34:32.000000000,Other,CAR 23 (ALB) LAP DELETED - TRACK LIMITS AT TURN 17 LAP 20 12:23:05 (PIT),None,None,None,None,None,None
2026-03-27T03:34:38.000000000,Other,CAR 11 (PER) LAP DELETED - TRACK LIMITS AT TURN 17 LAP 19 12:22:58 (PIT),None,None,None,None,None,None
2026-03-27T03:37:50.000000000,Other,FIA STEWARDS: TURN 15 INCIDENT INVOLVING CARS 44 (HAM) AND 3 (VER) WILL BE INVESTIGATED AFTER THE SESSION,None,None,None,None,None,None
2026-03-27T03:37:55.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,None,DOUBLE YELLOW,Sector,6.0,None,None
2026-03-27T03:37:55.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 28,None,DOUBLE YELLOW,Sector,28.0,None,None
2026-03-27T03:37:56.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,None,DOUBLE YELLOW,Sector,4.0,None,None
2026-03-27T03:37:57.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,None,DOUBLE YELLOW,Sector,12.0,None,None
2026-03-27T03:37:58.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,None,DOUBLE YELLOW,Sector,5.0,None,None
2026-03-27T03:37:58.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 26,None,DOUBLE YELLOW,Sector,26.0,None,None
2026-03-27T03:38:00.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,None,DOUBLE YELLOW,Sector,11.0,None,None
2026-03-27T03:38:00.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 25,None,DOUBLE YELLOW,Sector,25.0,None,None
2026-03-27T03:38:02.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,None,DOUBLE YELLOW,Sector,3.0,None,None
2026-03-27T03:38:02.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,None,DOUBLE YELLOW,Sector,13.0,None,None
2026-03-27T03:38:02.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,None,DOUBLE YELLOW,Sector,14.0,None,None
2026-03-27T03:38:03.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 23,None,DOUBLE YELLOW,Sector,23.0,None,None
2026-03-27T03:38:03.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,None,DOUBLE YELLOW,Sector,20.0,None,None
2026-03-27T03:38:04.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 22,None,DOUBLE YELLOW,Sector,22.0,None,None
2026-03-27T03:38:07.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,None,DOUBLE YELLOW,Sector,8.0,None,None
2026-03-27T03:38:08.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,None,DOUBLE YELLOW,Sector,19.0,None,None
2026-03-27T03:38:08.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 21,None,DOUBLE YELLOW,Sector,21.0,None,None
2026-03-27T03:38:08.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 29,None,DOUBLE YELLOW,Sector,29.0,None,None
2026-03-27T03:38:09.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,None,DOUBLE YELLOW,Sector,9.0,None,None
