wT,wAT,wH,wP,wR,wTT,wWD,wWS
32.674,17.0,44.3,1006.3,False,34.7,154,1.6
92.692,16.9,45.2,1006.3,False,35.0,152,2.6
152.698,17.0,45.9,1006.3,False,34.7,163,1.8
212.691,17.0,47.6,1006.2,False,34.9,152,2.3
272.692,17.0,47.5,1006.3,False,34.5,126,1.3
332.713,17.0,47.8,1006.3,False,34.5,122,2.2
392.709,17.0,47.6,1006.4,False,34.5,130,2.1
452.71,17.0,47.3,1006.4,False,34.0,126,2.1
512.729,17.1,47.1,1006.3,False,33.9,119,2.4
572.728,17.0,47.4,1006.4,False,34.1,125,2.9
632.727,17.2,48.1,1006.3,False,34.0,150,1.8
692.745,17.3,48.2,1006.3,False,33.6,122,2.2
752.762,17.2,47.5,1006.2,False,33.4,123,2.5
812.76,17.1,47.2,1006.3,False,33.2,119,2.1
872.776,17.2,47.7,1006.3,False,33.4,138,3.2
932.781,17.2,46.3,1006.3,False,33.1,119,2.8
992.794,17.2,46.0,1006.3,False,33.1,139,2.5
1052.795,17.3,47.3,1006.3,False,33.2,125,2.8
1112.797,17.3,47.1,1006.3,False,33.2,150,2.1
1172.795,17.3,46.0,1006.2,False,32.9,115,0.7
1232.796,17.4,45.8,1006.2,False,32.8,123,3.1
1292.796,17.2,44.9,1006.1,False,33.0,129,2.1
1352.798,17.3,45.9,1006.2,False,32.1,77,1.4
1412.799,17.5,45.8,1006.2,False,32.6,133,0.5
1472.8,17.5,44.4,1006.2,False,32.3,152,2.7
1532.8,17.4,43.7,1006.2,False,31.8,137,2.9
1592.817,17.4,44.2,1006.0,False,31.6,148,1.8
1652.838,17.4,45.1,1006.2,False,31.2,146,2.4
1712.835,17.4,43.5,1006.1,False,30.6,147,2.9
1772.851,17.4,38.8,1006.2,False,30.3,134,2.2
1832.871,17.4,41.8,1006.2,False,30.1,157,2.5
1892.883,17.4,41.1,1006.2,False,29.6,126,2.0
1952.905,17.4,41.1,1006.2,False,29.5,152,1.9
2012.901,17.5,41.7,1006.1,False,29.3,123,1.2
2072.915,17.4,42.2,1006.1,False,29.0,122,2.1
2132.935,17.3,43.2,1006.2,False,28.5,143,2.4
2192.939,17.1,43.2,1006.2,False,28.0,135,2.0
2252.934,17.2,43.3,1006.1,False,27.8,131,2.2
2312.964,17.2,42.4,1006.2,False,27.9,140,2.3
2372.95,17.1,43.2,1006.2,False,27.4,137,2.3
2432.95,17.2,43.0,1006.2,False,27.1,85,1.0
2492.95,17.3,44.0,1006.2,False,27.6,123,1.2
2552.953,17.4,43.9,1006.2,False,27.6,156,0.6
2612.959,17.6,42.0,1006.1,False,27.5,157,1.8
2672.971,17.5,41.7,1006.2,False,27.0,163,2.0
2732.984,17.4,42.8,1006.2,False,27.2,155,1.8
2792.989,17.4,42.8,1006.2,False,27.2,155,1.8
2852.991,17.5,42.6,1006.2,False,26.5,89,1.5
2912.987,17.5,44.0,1006.1,False,26.8,150,2.8
2972.989,17.4,43.5,1006.2,False,26.6,162,1.0
3033.006,17.3,43.5,1006.2,False,26.5,140,0.5
3093.012,17.3,46.0,1006.2,False,26.2,155,1.8
3153.012,17.3,45.7,1006.2,False,26.2,129,1.8
3213.038,17.3,45.1,1006.2,False,26.2,141,1.2
3273.073,17.1,46.8,1006.2,False,25.8,145,2.5
3333.051,17.1,47.2,1006.2,False,25.6,112,2.1
3393.061,17.1,48.4,1006.2,False,25.8,133,2.1
3453.058,17.1,46.1,1006.3,False,26.0,139,1.1
3513.062,17.3,46.1,1006.3,False,26.0,139,1.1
3573.076,17.0,48.0,1006.2,False,25.9,129,1.6
3633.079,17.0,46.8,1006.2,False,25.4,0,0.0
3693.075,17.0,47.3,1006.2,False,25.5,101,2.2
3753.082,16.9,47.3,1006.2,False,25.5,101,2.2
3813.077,16.8,47.3,1006.2,False,25.5,101,2.2
3873.077,17.0,48.2,1006.3,False,25.7,118,1.6
3933.082,17.1,48.3,1006.3,False,24.9,97,1.8
3993.082,17.1,48.1,1006.3,False,25.3,160,1.9
4053.073,17.1,48.6,1006.3,False,25.1,49,0.6
4113.082,17.1,48.6,1006.3,False,25.1,49,0.6
4173.081,17.1,50.0,1006.4,False,25.4,146,0.6
4233.083,17.6,50.0,1006.3,False,25.2,41,1.5
4293.084,17.2,49.8,1006.3,False,25.2,124,0.7
4353.081,17.3,50.5,1006.3,False,25.2,175,0.6
4413.088,17.1,50.6,1006.3,False,25.0,114,1.9
4473.095,17.2,50.0,1006.4,False,24.8,104,0.6
4533.085,16.6,50.0,1006.4,False,24.8,104,0.6
4593.088,17.2,50.2,1006.4,False,24.5,150,1.7
4653.085,17.0,50.7,1006.3,False,24.4,30,0.9
4713.097,16.9,51.8,1006.4,False,24.7,146,0.7
4773.12,17.1,51.2,1006.3,False,24.2,133,3.3
4833.121,16.8,50.4,1006.3,False,24.0,147,2.3
4893.136,16.7,52.3,1006.4,False,23.7,123,1.1
4953.137,16.4,53.3,1006.3,False,23.9,121,2.3
5013.138,16.5,53.1,1006.3,False,23.7,119,2.8
5073.139,16.5,53.2,1006.3,False,23.6,112,1.4
