time,cat,msg,status,flag,scope,sector,dNum,lap
2026-03-28T05:49:45.000000000,Other,RISK OF RAIN FOR F1 QUALIFYING IS 0%,None,None,None,None,None,None
2026-03-28T06:00:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-03-28T06:18:00.000000000,Flag,CHEQUERED FLAG,None,CHEQUERED,Track,None,None,None
2026-03-28T06:18:12.000000000,Other,FIRST CAR TO TAKE THE FLAG - CAR 23 (ALB),None,None,None,None,None,None
2026-03-28T06:19:23.000000000,Other,TURN 14 INCIDENT INVOLVING CARS 55 (SAI) AND 6 (HAD) NOTED - IMPEDING,None,None,None,None,None,None
2026-03-28T06:20:53.000000000,Other,FIA STEWARDS: TURN 14 INCIDENT INVOLVING CARS 55 (SAI) AND 6 (HAD) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,None,None,None,None,None,None
2026-03-28T06:21:37.000000000,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 41 (LIN) AND 5 (BOR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,None,None,None,None,None,None
2026-03-28T06:21:57.000000000,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 41 (LIN) AND 5 (BOR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,None,None,None,None,None,None
2026-03-28T06:25:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-03-28T06:40:00.000000000,Flag,CHEQUERED FLAG,None,CHEQUERED,Track,None,None,None
2026-03-28T06:40:06.000000000,Other,FIRST CAR TO TAKE THE FLAG - CAR 55 (SAI),None,None,None,None,None,None
2026-03-28T06:42:51.000000000,Other,FIA STEWARDS: Q2 INCIDENT INVOLVING CAR 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,None,None,None,None,None,None
2026-03-28T06:42:59.000000000,Other,FIA STEWARDS: Q2 INCIDENT INVOLVING CAR 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,None,None,None,None,None,None
2026-03-28T06:47:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-03-28T06:51:12.000000000,Other,CAR 41 (LIN) TIME 1:31.537 DELETED - TRACK LIMITS AT TURN 13 LAP 18 15:50:40,None,None,None,None,None,None
2026-03-28T06:58:52.000000000,Flag,BLACK AND WHITE FLAG FOR CAR 44 (HAM) - DRIVING UNNECESSARILY SLOWLY IN PIT EXIT ROAD,None,BLACK AND WHITE,Driver,None,44,None
2026-03-28T07:00:00.000000000,Flag,CHEQUERED FLAG,None,CHEQUERED,Track,None,None,None
2026-03-28T07:00:16.000000000,Other,FIRST CAR TO TAKE THE FLAG - CAR 44 (HAM),None,None,None,None,None,None
2026-03-28T07:03:23.000000000,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 41 (LIN) AND 5 (BOR) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,None,None,None,None,None,None
2026-03-28T07:03:32.000000000,Other,FIA STEWARDS: Q2 INCIDENT INVOLVING CAR 44 (HAM) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,None,None,None,None,None,None
