wT,wAT,wH,wP,wR,wTT,wWD,wWS
31.674,16.7,57.2,1008.8,False,32.4,126,2.9
91.672,16.6,55.3,1008.8,False,32.2,114,1.9
151.674,16.6,56.4,1008.8,False,32.2,117,2.4
211.677,16.5,57.1,1008.8,False,32.0,122,1.7
271.676,16.5,55.4,1008.7,False,32.3,132,1.7
331.676,16.5,56.4,1008.7,False,32.6,121,2.2
391.676,16.5,57.0,1008.7,False,32.7,144,2.0
451.677,16.5,56.7,1008.8,False,32.3,122,2.2
511.678,16.5,56.9,1008.7,False,32.4,151,2.7
571.686,16.5,57.0,1008.8,False,32.0,164,3.3
631.706,16.4,59.2,1008.7,False,32.1,151,2.3
691.707,16.4,59.9,1008.6,False,31.9,152,3.5
751.723,16.4,58.5,1008.7,False,31.6,120,2.3
811.727,16.4,60.1,1008.8,False,31.5,130,2.3
871.726,16.4,57.8,1008.8,False,31.3,125,3.8
931.732,16.4,55.8,1008.8,False,31.4,115,1.8
991.73,16.4,56.4,1008.8,False,31.0,150,1.3
1051.728,16.5,55.9,1008.8,False,31.4,113,1.0
1111.734,16.5,54.4,1008.8,False,31.4,94,1.2
1171.73,16.5,54.7,1008.8,False,31.3,158,2.2
1231.731,16.5,53.3,1008.7,False,31.5,117,0.8
1291.729,16.6,53.3,1008.7,False,31.5,125,0.9
1351.748,16.6,51.3,1008.7,False,31.5,183,1.2
1411.748,16.7,50.2,1008.7,False,31.1,151,2.3
1471.765,16.7,48.8,1008.6,False,30.8,137,1.8
1531.78,16.7,48.8,1008.6,False,30.8,137,1.8
1591.784,16.6,48.8,1008.6,False,30.2,118,2.3
1651.781,16.5,50.1,1008.7,False,30.1,125,2.6
1711.799,16.5,50.2,1008.6,False,30.2,137,2.2
1771.8,16.6,46.9,1008.7,False,30.1,166,1.0
1831.815,16.5,47.4,1008.7,False,29.9,114,2.8
1891.813,16.5,48.7,1008.7,False,29.7,133,1.5
1951.817,16.6,47.5,1008.8,False,29.8,85,0.9
2011.843,16.6,47.2,1008.8,False,29.6,159,2.0
2071.821,16.5,47.2,1008.7,False,29.7,144,1.9
2131.822,16.4,48.6,1008.7,False,29.7,157,1.4
2191.82,16.4,49.6,1008.7,False,29.8,138,2.1
2251.821,16.4,47.9,1008.6,False,29.6,149,1.4
2311.818,16.4,48.1,1008.7,False,29.5,126,0.9
2371.822,16.4,49.5,1008.6,False,29.7,148,1.9
2431.822,16.4,48.7,1008.7,False,29.4,135,0.6
2491.836,16.6,47.9,1008.7,False,29.5,164,1.2
2551.836,16.7,46.6,1008.7,False,29.3,137,2.3
2611.826,16.7,44.2,1008.8,False,29.1,146,1.4
2671.825,16.7,45.5,1008.7,False,29.0,145,2.1
2731.827,16.6,47.0,1008.7,False,29.0,123,1.6
2791.827,16.5,46.5,1008.7,False,28.6,108,2.3
2851.825,16.5,47.4,1008.8,False,28.7,113,2.7
2911.827,16.5,46.7,1008.7,False,29.4,158,1.0
2971.829,16.6,46.5,1008.7,False,28.9,129,2.2
3031.831,16.7,46.1,1008.6,False,28.9,146,1.5
3091.829,16.7,47.9,1008.7,False,28.6,357,0.6
3151.831,16.8,47.8,1008.7,False,28.5,31,0.4
3211.832,16.9,45.8,1008.7,False,28.1,162,2.9
3271.833,16.9,44.5,1008.7,False,28.1,147,2.5
3331.833,16.8,46.1,1008.7,False,28.2,121,0.6
3391.834,16.7,48.9,1008.6,False,28.2,148,1.9
3451.833,16.6,50.8,1008.7,False,28.0,172,1.0
3511.833,16.5,52.8,1008.7,False,27.9,114,1.8
3571.835,16.5,52.4,1008.6,False,27.9,127,2.1
3631.836,16.5,49.8,1008.7,False,27.7,128,2.1
3691.836,16.4,50.8,1008.7,False,27.5,107,1.3
3751.838,16.4,51.9,1008.6,False,27.8,59,0.8
3811.838,16.5,52.4,1008.7,False,27.8,9,0.4
3871.837,16.6,52.2,1008.7,False,27.5,333,1.5
3931.839,16.7,51.7,1008.6,False,27.5,131,1.0
3991.843,16.6,51.5,1008.6,False,27.3,129,1.2
4051.842,16.6,52.9,1008.6,False,27.2,114,1.6
4111.84,16.5,53.0,1008.6,False,27.2,97,0.8
4171.847,16.4,54.2,1008.6,False,27.4,134,1.8
4231.849,16.6,54.9,1008.6,False,27.3,145,1.6
4291.843,16.3,55.8,1008.7,False,26.9,84,1.3
4351.845,16.3,55.4,1008.7,False,26.9,335,0.9
4411.861,16.3,55.5,1008.6,False,26.8,334,1.4
4471.877,16.4,55.4,1008.7,False,26.1,92,1.6
