time,cat,msg,status,flag,scope,sector,dNum,lap
2026-03-29T04:18:28.000000000,Other,FORMATION LAP WILL START AT 14:10,None,None,None,None,None,1
2026-03-29T04:24:02.000000000,Flag,CLEAR IN TRACK SECTOR 18,None,CLEAR,Sector,18.0,None,1
2026-03-29T04:24:04.000000000,Flag,CLEAR IN TRACK SECTOR 24,None,CLEAR,Sector,24.0,None,1
2026-03-29T04:24:06.000000000,Flag,CLEAR IN TRACK SECTOR 19,None,CLEAR,Sector,19.0,None,1
2026-03-29T04:30:01.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,1
2026-03-29T04:40:01.000000000,Other,PIT EXIT CLOSED,None,None,None,None,None,1
2026-03-29T04:51:40.000000000,Other,RISK OF RAIN FOR THE F1 RACE IS 0%,None,None,None,None,None,1
2026-03-29T05:07:05.000000000,Other,OVERTAKE DISABLED,None,None,None,None,None,1
2026-03-29T05:14:02.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,1
2026-03-29T05:15:26.000000000,Other,OVERTAKE ENABLED,None,None,None,None,None,1
2026-03-29T05:20:02.000000000,Other,CAR 18 (STR) LAP DELETED - TRACK LIMITS AT TURN 13 LAP 1 14:15:19,None,None,None,None,None,4
2026-03-29T05:32:11.000000000,Other,CAR 87 (BEA) TIME 1:37.790 DELETED - TRACK LIMITS AT TURN 13 LAP 11 14:31:24,None,None,None,None,None,12
2026-03-29T05:37:09.000000000,Flag,BLACK AND WHITE FLAG FOR CAR 41 (LIN) - MOVING UNDER BRAKING,None,BLACK AND WHITE,Driver,None,41,15
2026-03-29T05:47:01.000000000,Other,CAR 11 (PER) TIME 1:38.735 DELETED - TRACK LIMITS AT TURN 13 LAP 20 14:46:19,None,None,None,None,None,21
2026-03-29T05:47:54.000000000,Flag,YELLOW IN TRACK SECTOR 21,None,YELLOW,Sector,21.0,None,22
2026-03-29T05:47:59.000000000,Flag,YELLOW IN TRACK SECTOR 20,None,YELLOW,Sector,20.0,None,22
2026-03-29T05:48:11.000000000,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,None,None,None,None,22
2026-03-29T05:48:23.000000000,Other,MEDICAL CAR DEPLOYED,None,None,None,None,None,22
2026-03-29T05:49:29.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 21,None,DOUBLE YELLOW,Sector,21.0,None,23
2026-03-29T05:49:58.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,None,DOUBLE YELLOW,Sector,20.0,None,23
2026-03-29T05:50:15.000000000,Other,RECOVERY VEHICLE ON TRACK AT TURN 13,None,None,None,None,None,23
2026-03-29T05:57:32.000000000,Other,LAPPED CARS MAY NOW OVERTAKE THE SAFETY CAR: 77,None,None,None,None,None,26
2026-03-29T05:57:48.000000000,Flag,CLEAR IN TRACK SECTOR 20,None,CLEAR,Sector,20.0,None,26
2026-03-29T05:57:50.000000000,Flag,CLEAR IN TRACK SECTOR 21,None,CLEAR,Sector,21.0,None,26
2026-03-29T06:00:06.000000000,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,None,None,None,None,27
2026-03-29T06:01:24.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,27
2026-03-29T06:02:11.000000000,Other,OVERTAKE ENABLED,None,None,None,None,None,28
2026-03-29T06:06:00.000000000,Other,TURN 13 INCIDENT INVOLVING CARS 43 (COL) AND 87 (BEA) NOTED,None,None,None,None,None,30
2026-03-29T06:06:40.000000000,Other,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 43 (COL) AND 87 (BEA) REVIEWED NO FURTHER INVESTIGATION,None,None,None,None,None,31
2026-03-29T06:07:47.000000000,Other,CAR 41 (LIN) TIME 1:35.724 DELETED - TRACK LIMITS AT TURN 17 LAP 30 15:06:35,None,None,None,None,None,31
2026-03-29T06:08:20.000000000,Other,CAR 43 (COL) TIME 1:43.165 DELETED - TRACK LIMITS AT TURN 13 LAP 21 14:47:52,None,None,None,None,None,32
2026-03-29T06:29:27.000000000,Other,TURN 16 INCIDENT INVOLVING CAR 44 (HAM) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,None,None,None,None,None,45
2026-03-29T06:29:35.000000000,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:29:34,None,BLUE,Driver,None,77,45
2026-03-29T06:30:23.000000000,Other,CAR 44 (HAM) TIME 1:33.636 DELETED - TRACK LIMITS AT TURN 17 LAP 44 15:28:16,None,None,None,None,None,46
2026-03-29T06:32:11.000000000,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:32:10,None,BLUE,Driver,None,14,47
2026-03-29T06:32:59.000000000,Other,FIA STEWARDS: TURN 16 INCIDENT INVOLVING CAR 44 (HAM) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,None,None,None,None,None,48
2026-03-29T06:33:41.000000000,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:33:41,None,BLUE,Driver,None,77,48
2026-03-29T06:33:57.000000000,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:33:57,None,BLUE,Driver,None,77,48
