wT,wAT,wH,wP,wR,wTT,wWD,wWS
46.894,19.4,46.1,1012.1,False,37.0,115,3.1
106.896,19.4,45.7,1012.1,False,38.0,140,1.9
166.898,19.4,44.7,1012.0,False,37.3,124,3.3
226.897,19.5,45.0,1012.1,False,37.7,126,2.3
286.899,19.5,45.0,1012.1,False,37.4,118,2.5
346.899,19.5,45.4,1012.1,False,38.1,125,2.7
406.901,19.4,46.0,1012.0,False,37.8,121,2.9
466.895,19.5,46.0,1012.0,False,38.2,144,2.4
526.909,19.5,46.3,1012.1,False,38.2,135,2.7
586.901,19.4,48.9,1012.0,False,37.8,128,3.5
646.901,19.3,49.8,1012.0,False,38.3,116,2.4
706.901,19.3,51.6,1012.0,False,37.9,133,3.4
766.904,19.2,50.3,1012.0,False,37.5,127,3.4
826.903,19.1,51.0,1012.1,False,37.8,132,2.1
886.905,18.9,52.0,1012.1,False,37.7,129,2.4
946.904,18.8,51.9,1012.0,False,37.3,128,2.5
1006.906,18.8,52.3,1012.0,False,36.8,117,1.0
1066.913,18.7,52.9,1012.1,False,37.0,133,2.2
1126.909,18.6,52.1,1012.0,False,37.1,122,2.3
1186.91,18.4,51.8,1012.0,False,36.8,125,3.7
1246.909,18.5,52.4,1012.0,False,37.2,134,2.5
1306.909,18.4,53.7,1012.0,False,36.8,124,3.0
1366.912,18.4,52.5,1012.1,False,37.2,142,1.9
1426.913,18.5,53.2,1012.0,False,36.6,120,2.7
1486.914,18.6,53.9,1012.0,False,36.2,119,2.8
1546.911,18.5,52.9,1012.0,False,36.3,129,1.4
1606.913,18.5,53.2,1012.0,False,36.2,133,1.6
1666.917,18.5,52.2,1011.9,False,35.6,110,2.7
1726.918,18.5,52.8,1011.9,False,35.4,110,2.6
1786.946,18.5,53.0,1011.9,False,36.0,122,2.9
1846.918,18.5,52.5,1011.9,False,36.0,133,2.6
1906.915,18.5,52.8,1011.9,False,36.1,118,1.8
1966.917,18.4,53.9,1012.0,False,36.4,155,2.1
2026.919,18.4,53.4,1011.9,False,35.8,125,2.4
2086.916,18.6,53.7,1011.9,False,36.2,148,1.8
2146.918,18.4,53.7,1011.9,False,35.5,117,2.7
2206.925,18.5,52.9,1011.9,False,36.2,144,2.9
2266.925,18.5,52.5,1012.0,False,36.3,136,2.6
2326.922,18.5,53.1,1011.9,False,36.3,113,2.2
2386.922,18.4,53.2,1011.8,False,36.3,135,2.6
2446.927,18.5,52.8,1011.8,False,35.8,129,3.0
2506.925,18.4,51.6,1011.8,False,35.4,118,2.4
2566.924,18.4,53.3,1011.8,False,35.3,121,2.9
2626.925,18.5,53.0,1011.8,False,35.8,130,3.4
2686.924,18.6,51.6,1011.7,False,36.5,121,2.8
2746.926,18.6,52.3,1011.8,False,36.3,133,2.1
2806.929,18.6,51.9,1011.7,False,36.1,119,1.9
2866.928,18.6,53.6,1011.8,False,35.7,105,1.8
2926.929,18.7,53.6,1011.8,False,36.6,121,2.0
2986.934,18.8,51.0,1011.8,False,36.7,147,3.0
3046.931,18.8,52.2,1011.7,False,35.9,104,2.0
3106.934,18.8,53.0,1011.8,False,36.9,120,3.1
3166.932,18.8,53.5,1011.8,False,36.7,130,1.5
3226.935,18.8,52.5,1011.8,False,36.6,121,2.0
3286.934,18.8,52.6,1011.8,False,36.2,113,3.0
3346.934,18.9,53.3,1011.7,False,36.8,150,3.2
3406.936,18.8,53.1,1011.8,False,36.4,121,2.5
3466.937,18.7,53.5,1011.8,False,36.6,118,1.8
3526.936,18.8,53.8,1011.8,False,36.7,119,2.8
3586.935,18.8,53.7,1011.9,False,36.6,131,2.3
3646.939,18.9,53.4,1011.8,False,36.7,122,2.4
3706.94,19.0,54.1,1011.9,False,36.6,151,2.3
3766.938,18.9,53.9,1011.7,False,36.4,122,2.0
3826.937,18.8,55.5,1011.7,False,36.7,124,2.1
3886.944,18.9,55.3,1011.8,False,36.8,111,1.8
3946.939,18.9,54.3,1011.7,False,36.7,143,1.5
4006.943,18.9,53.9,1011.8,False,36.3,120,1.7
4066.945,18.9,54.5,1011.7,False,36.0,112,2.1
4126.951,19.0,54.0,1011.8,False,36.5,104,0.4
4186.945,19.1,54.4,1011.8,False,36.4,135,2.9
4246.946,19.1,53.2,1011.8,False,36.4,128,2.3
4306.945,19.2,52.0,1011.8,False,36.0,95,1.4
4366.947,19.3,52.1,1011.8,False,35.7,120,2.6
4426.948,19.1,51.3,1011.8,False,35.7,130,1.3
4486.95,19.0,51.5,1011.8,False,35.4,104,1.2
4546.949,19.0,51.7,1011.8,False,35.3,144,2.7
4606.955,19.1,51.2,1011.7,False,34.6,120,2.3
4666.956,19.1,50.8,1011.8,False,34.3,120,2.5
4726.95,19.0,51.2,1011.8,False,34.6,126,2.0
4786.951,19.1,50.7,1011.7,False,34.0,142,1.5
4846.954,19.0,51.0,1011.7,False,34.0,127,2.5
4906.957,19.1,50.5,1011.9,False,33.7,82,1.3
4966.959,19.0,49.6,1011.9,False,34.1,117,0.6
5026.956,19.0,50.6,1011.8,False,33.8,151,2.0
5086.955,19.0,50.6,1011.8,False,33.6,56,1.2
5146.957,18.9,50.7,1011.7,False,33.3,133,1.2
5206.955,18.8,51.4,1011.6,False,33.2,98,1.2
5266.957,18.8,50.8,1011.8,False,33.4,44,0.7
5326.962,18.8,49.7,1011.7,False,33.4,135,2.1
5386.956,18.9,47.8,1011.8,False,32.9,133,2.6
5446.965,18.8,48.1,1011.7,False,32.5,126,2.3
5506.96,18.8,48.7,1011.7,False,32.8,100,1.3
5566.954,18.8,48.5,1011.7,False,32.2,24,1.7
5626.959,18.7,48.8,1011.7,False,32.5,78,1.2
5686.962,18.7,49.2,1011.7,False,32.7,131,2.2
5746.964,18.6,49.2,1011.7,False,32.2,58,1.8
5806.966,18.6,49.9,1011.7,False,32.6,116,0.9
5866.963,18.6,50.4,1011.6,False,32.9,163,0.7
5926.963,18.6,49.7,1011.7,False,32.7,165,1.6
5986.965,18.5,51.5,1011.7,False,32.7,107,0.4
6046.954,18.6,51.9,1011.6,False,32.7,124,1.5
6106.969,18.5,51.1,1011.6,False,32.7,152,2.1
6166.968,18.5,51.1,1011.7,False,32.9,121,1.3
6226.969,18.4,52.5,1011.7,False,32.9,182,0.7
6286.968,18.5,51.8,1011.7,False,32.8,120,1.5
6346.971,18.4,49.8,1011.7,False,32.7,154,2.4
6406.972,18.5,50.7,1011.7,False,32.3,106,2.0
