time,lap,compound,stint,s1,s2,s3,life,pos,status,pb,sesT,drv,dNum,pout,pin,s1T,s2T,s3T,vi1,vi2,vfl,vst,fresh,team,lST,lSD,del,delR,ff1G,iacc,wT,wAT,wH,wP,wR,wTT,wWD,wWS
None,1,MEDIUM,1,None,47.656,25.246,9,None,1,False,884.11,ANT,12,749.315,None,None,859.067,884.267,194.0,225.0,305.0,188.0,False,Mercedes,749.315,2026-02-18T07:00:20.001000000,False,None,False,False,770.826,20.4,78.0,1017.5,False,29.0,212,1.5
99.145,2,MEDIUM,1,31.229,43.893,24.023,10,None,1,True,983.255,ANT,12,None,None,915.339,959.232,983.255,222.0,236.0,299.0,307.0,False,Mercedes,884.11,2026-02-18T07:02:34.796000000,False,None,False,True,950.817,20.8,75.1,1017.3,False,30.7,160,1.1
98.731,3,MEDIUM,1,31.166,43.553,24.012,11,None,1,True,1081.986,ANT,12,None,None,1014.421,1057.974,1081.986,222.0,236.0,280.0,296.0,False,Mercedes,983.255,2026-02-18T07:04:13.941000000,False,None,False,True,1010.839,20.8,74.3,1017.4,False,29.4,234,1.0
121.91,4,MEDIUM,1,34.944,56.585,30.381,12,None,1,False,1203.896,ANT,12,None,1202.115,1116.93,1173.515,1203.896,182.0,180.0,None,267.0,False,Mercedes,1081.986,2026-02-18T07:05:52.672000000,False,None,False,False,1130.827,20.9,72.7,1017.3,False,30.2,224,0.6
None,5,MEDIUM,2,None,53.095,25.392,13,None,1,False,1391.748,ANT,12,1248.242,None,None,1366.525,1391.835,140.0,216.0,304.0,186.0,False,Mercedes,1203.896,2026-02-18T07:07:54.582000000,False,None,False,False,1250.82,20.9,71.7,1017.3,False,30.7,0,0.0
97.985,6,MEDIUM,2,30.856,43.377,23.752,14,None,1,True,1489.733,ANT,12,None,None,1422.604,1465.981,1489.733,221.0,236.0,301.0,305.0,False,Mercedes,1391.748,2026-02-18T07:11:02.434000000,False,None,False,True,1310.819,21.0,71.7,1017.3,False,30.5,206,0.5
98.213,7,MEDIUM,2,31.056,43.282,23.875,15,None,1,False,1587.946,ANT,12,None,None,1520.789,1564.071,1587.946,221.0,236.0,291.0,299.0,False,Mercedes,1489.733,2026-02-18T07:12:40.419000000,False,None,False,True,1430.844,21.3,70.4,1017.3,False,31.7,192,1.6
123.066,8,MEDIUM,2,34.558,57.149,31.359,16,None,1,False,1711.012,ANT,12,None,1709.485,1622.504,1679.653,1711.012,187.0,179.0,None,263.0,False,Mercedes,1587.946,2026-02-18T07:14:18.632000000,False,None,False,False,2270.934,22.3,69.0,1017.3,False,32.7,189,1.8
None,9,MEDIUM,3,None,52.176,29.202,1,None,1,False,2505.151,ANT,12,2386.799,None,None,2476.075,2505.192,192.0,197.0,279.0,152.0,True,Mercedes,1711.012,2026-02-18T07:16:21.698000000,False,None,False,False,2390.95,22.4,69.8,1017.2,False,31.4,213,1.8
94.473,10,MEDIUM,3,29.851,41.364,23.258,2,None,1,True,2599.624,ANT,12,None,None,2535.002,2576.366,2599.624,237.0,237.0,284.0,314.0,True,Mercedes,2505.151,2026-02-18T07:29:35.837000000,False,None,False,True,2510.951,22.7,67.8,1017.3,False,31.0,236,1.3
