time,lap,compound,stint,s1,s2,s3,life,pos,status,pb,sesT,drv,dNum,pout,pin,s1T,s2T,s3T,vi1,vi2,vfl,vst,fresh,team,lST,lSD,del,delR,ff1G,iacc,wT,wAT,wH,wP,wR,wTT,wWD,wWS
None,1,MEDIUM,1,None,66.275,31.357,1,None,1,False,21456.04,STR,18,21321.112,None,None,21424.885,21456.04,127.0,123.0,287.0,175.0,True,Aston Martin,21321.112,2026-02-18T12:43:11.798000000,False,None,False,False,770.826,20.4,78.0,1017.5,False,29.0,212,1.5
99.72,2,MEDIUM,1,31.658,43.291,24.771,2,None,1,True,21555.76,STR,18,None,None,21487.698,21530.989,21555.76,221.0,239.0,273.0,289.0,True,Aston Martin,21456.04,2026-02-18T12:45:26.726000000,False,None,False,True,950.817,20.8,75.1,1017.3,False,30.7,160,1.1
None,3,MEDIUM,1,50.988,71.211,35.899,3,None,1,False,21713.772,STR,18,None,None,21606.884,21678.092,21713.882,127.0,130.0,215.0,163.0,True,Aston Martin,21555.76,2026-02-18T12:47:06.446000000,False,None,False,False,1010.839,20.8,74.3,1017.4,False,29.4,234,1.0
140.252,4,MEDIUM,1,43.443,63.616,33.193,4,None,1,False,21854.024,STR,18,None,None,21757.215,21820.831,21854.024,110.0,83.0,284.0,189.0,True,Aston Martin,21713.772,2026-02-18T12:49:44.458000000,False,None,False,True,1130.827,20.9,72.7,1017.3,False,30.2,224,0.6
98.177,5,MEDIUM,1,31.211,42.922,24.044,5,None,1,True,21952.201,STR,18,None,None,21885.235,21928.157,21952.201,226.0,239.0,276.0,285.0,True,Aston Martin,21854.024,2026-02-18T12:52:04.710000000,False,None,False,True,1250.82,20.9,71.7,1017.3,False,30.7,0,0.0
None,6,MEDIUM,1,51.573,85.838,42.504,6,None,1,False,22132.251,STR,18,None,None,22003.909,22089.809,22132.294,116.0,93.0,274.0,148.0,True,Aston Martin,21952.201,2026-02-18T12:53:42.887000000,False,None,False,False,1310.819,21.0,71.7,1017.3,False,30.5,206,0.5
None,7,MEDIUM,1,31.158,None,None,7,None,125,False,28160.157,STR,18,None,22669.877,22163.562,None,None,227.0,None,None,292.0,True,Aston Martin,22132.251,2026-02-18T12:56:42.937000000,False,None,False,False,1430.844,21.3,70.4,1017.3,False,31.7,192,1.6
None,8,MEDIUM,2,None,54.746,30.411,6,None,1,False,28281.414,STR,18,28160.157,None,None,28251.169,28281.507,162.0,174.0,263.0,169.0,False,Aston Martin,28160.157,2026-02-18T14:37:10.843000000,False,None,False,False,2270.934,22.3,69.0,1017.3,False,32.7,189,1.8
100.306,9,MEDIUM,2,32.199,43.897,24.21,7,None,1,False,28381.72,STR,18,None,None,28313.613,28357.51,28381.72,222.0,234.0,273.0,288.0,False,Aston Martin,28281.414,2026-02-18T14:39:12.100000000,False,None,False,True,2390.95,22.4,69.8,1017.2,False,31.4,213,1.8
143.884,10,MEDIUM,2,38.773,72.291,32.82,8,None,1,False,28525.604,STR,18,None,None,28420.493,28492.784,28525.604,138.0,163.0,261.0,242.0,False,Aston Martin,28381.72,2026-02-18T14:40:52.406000000,False,None,False,True,2510.951,22.7,67.8,1017.3,False,31.0,236,1.3
110.418,11,MEDIUM,2,31.644,48.532,30.242,9,None,1,False,28636.022,STR,18,None,28634.122,28557.248,28605.78,28636.022,226.0,222.0,None,293.0,False,Aston Martin,28525.604,2026-02-18T14:43:16.290000000,False,None,False,False,2630.971,22.8,66.3,1017.2,False,33.6,171,1.2
None,12,MEDIUM,3,None,54.637,32.438,1,None,1,False,29043.246,STR,18,28921.729,None,None,29010.961,29043.253,166.0,106.0,269.0,178.0,True,Aston Martin,28636.022,2026-02-18T14:45:06.708000000,False,None,False,False,2750.998,22.8,64.4,1017.1,False,33.2,199,1.1
96.68,13,MEDIUM,3,30.769,42.222,23.689,2,None,1,True,29139.926,STR,18,None,None,29074.015,29116.237,29139.926,228.0,240.0,275.0,294.0,True,Aston Martin,29043.246,2026-02-18T14:51:53.932000000,False,None,False,True,2871.002,23.1,66.7,1017.1,False,32.6,222,2.3
None,14,MEDIUM,3,49.692,72.554,28.968,3,None,1,False,29291.103,STR,18,None,None,29189.791,29262.375,29291.103,77.0,159.0,280.0,196.0,True,Aston Martin,29139.926,2026-02-18T14:53:30.612000000,False,None,False,False,3831.078,23.4,65.1,1017.0,False,34.8,185,2.4
118.435,15,MEDIUM,3,30.68,56.806,30.949,4,None,1,False,29409.538,STR,18,None,29407.675,29321.783,29378.589,29409.538,229.0,178.0,None,297.0,True,Aston Martin,29291.103,2026-02-18T14:56:01.789000000,False,None,False,False,3951.078,23.4,66.2,1017.1,False,34.8,167,0.9
None,16,MEDIUM,4,None,56.866,29.032,1,None,1,False,29915.411,STR,18,29790.207,None,None,29886.568,29915.481,170.0,176.0,280.0,154.0,True,Aston Martin,29409.538,2026-02-18T14:58:00.224000000,False,None,False,False,4071.106,23.6,64.1,1017.0,False,34.5,208,2.0
96.338,17,MEDIUM,4,30.509,42.283,23.546,2,None,1,True,30011.749,STR,18,None,None,29945.92,29988.203,30011.749,229.0,238.0,280.0,297.0,True,Aston Martin,29915.411,2026-02-18T15:06:26.097000000,False,None,False,True,4191.073,23.8,63.1,1017.1,False,34.6,213,1.8
