time,lap,compound,stint,s1,s2,s3,life,pos,status,pb,sesT,drv,dNum,pout,pin,s1T,s2T,s3T,vi1,vi2,vfl,vst,fresh,team,lST,lSD,del,delR,ff1G,iacc,wT,wAT,wH,wP,wR,wTT,wWD,wWS
None,1,MEDIUM,1,None,46.677,25.857,1,None,1,False,934.738,ALB,23,826.708,None,None,909.056,934.738,213.0,219.0,267.0,129.0,False,Williams,826.708,2026-02-18T07:01:37.394000000,False,None,False,False,770.826,20.4,78.0,1017.5,False,29.0,212,1.5
122.807,2,MEDIUM,1,38.013,51.94,32.854,2,None,1,False,1057.545,ALB,23,None,1055.544,972.751,1024.691,1057.545,152.0,183.0,None,256.0,False,Williams,934.738,2026-02-18T07:03:25.424000000,False,None,False,False,950.817,20.8,75.1,1017.3,False,30.7,160,1.1
None,3,MEDIUM,2,None,44.925,25.118,5,None,1,False,1647.68,ALB,23,1544.388,None,None,1622.637,1647.747,214.0,228.0,277.0,154.0,False,Williams,1057.545,2026-02-18T07:05:28.231000000,False,None,False,False,1010.839,20.8,74.3,1017.4,False,29.4,234,1.0
119.443,4,MEDIUM,2,38.809,48.702,31.932,6,None,1,False,1767.123,ALB,23,None,1765.21,1686.489,1735.191,1767.123,144.0,187.0,None,263.0,False,Williams,1647.68,2026-02-18T07:15:18.366000000,False,None,False,False,1130.827,20.9,72.7,1017.3,False,30.2,224,0.6
None,5,None,3,None,44.473,25.698,7,None,1,False,2678.889,ALB,23,2573.163,None,None,2653.387,2678.962,214.0,228.0,239.0,111.0,False,Williams,1767.123,2026-02-18T07:17:17.809000000,False,None,False,False,1250.82,20.9,71.7,1017.3,False,30.7,0,0.0
125.438,6,None,3,41.645,48.118,35.675,8,None,1,False,2804.327,ALB,23,None,2802.327,2720.534,2768.652,2804.327,157.0,199.0,None,239.0,False,Williams,2678.889,2026-02-18T07:32:29.575000000,False,None,False,False,1310.819,21.0,71.7,1017.3,False,30.5,206,0.5
None,7,MEDIUM,4,None,47.593,26.097,9,None,1,False,3399.239,ALB,23,3287.065,None,None,3373.408,3399.476,205.0,196.0,294.0,108.0,False,Williams,2804.327,2026-02-18T07:34:35.013000000,False,None,False,False,1430.844,21.3,70.4,1017.3,False,31.7,192,1.6
129.179,8,MEDIUM,4,33.714,67.608,27.857,10,None,1,True,3528.418,ALB,23,None,None,3432.953,3500.561,3528.418,121.0,171.0,288.0,304.0,False,Williams,3399.239,2026-02-18T07:44:29.925000000,False,None,False,True,2270.934,22.3,69.0,1017.3,False,32.7,189,1.8
99.188,9,MEDIUM,4,31.217,43.899,24.072,11,None,1,True,3627.606,ALB,23,None,None,3559.635,3603.534,3627.606,225.0,231.0,278.0,305.0,False,Williams,3528.418,2026-02-18T07:46:39.104000000,False,None,False,True,2390.95,22.4,69.8,1017.2,False,31.4,213,1.8
132.651,10,MEDIUM,4,46.455,55.284,30.912,12,None,1,False,3760.257,ALB,23,None,3758.455,3674.061,3729.345,3760.257,123.0,198.0,None,166.0,False,Williams,3627.606,2026-02-18T07:48:18.292000000,False,None,False,False,2510.951,22.7,67.8,1017.3,False,31.0,236,1.3
142.938,11,MEDIUM,5,66.509,50.371,26.058,7,None,1,False,3903.195,ALB,23,3788.257,None,3826.766,3877.137,3903.195,138.0,210.0,293.0,133.0,False,Williams,3760.257,2026-02-18T07:50:30.943000000,False,None,False,False,2630.971,22.8,66.3,1017.2,False,33.6,171,1.2
97.957,12,MEDIUM,5,30.891,43.048,24.018,8,None,1,True,4001.152,ALB,23,None,None,3934.086,3977.134,4001.152,227.0,232.0,280.0,306.0,False,Williams,3903.195,2026-02-18T07:52:53.881000000,False,None,False,True,2750.998,22.8,64.4,1017.1,False,33.2,199,1.1
125.165,13,MEDIUM,5,36.332,57.182,31.651,9,None,1,False,4126.317,ALB,23,None,4124.529,4037.484,4094.666,4126.317,132.0,188.0,None,250.0,False,Williams,4001.152,2026-02-18T07:54:31.838000000,False,None,False,False,2871.002,23.1,66.7,1017.1,False,32.6,222,2.3
