time,cat,msg,status,flag,scope,sector,dNum,lap
2026-02-18T06:54:19.000000000,Other,PINK HEAD PADDING MATERIAL MUST BE USED,None,None,None,None,None,None
2026-02-18T07:00:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-02-18T10:12:05.000000000,Other,THIS IS A TEST MESSAGE FROM RACE CONTROL,None,None,None,None,None,None
2026-02-18T10:15:35.000000000,Flag,WAVED BLUE FLAG FOR CAR 41 (LIN) TIMED AT 13:15:34,None,BLUE,Driver,None,41,None
2026-02-18T10:17:15.000000000,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 13:17:14,None,BLUE,Driver,None,27,None
2026-02-18T10:50:05.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,None,DOUBLE YELLOW,Sector,11.0,None,None
2026-02-18T10:50:09.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,None,DOUBLE YELLOW,Sector,15.0,None,None
2026-02-18T10:50:35.000000000,SafetyCar,VSC DEPLOYED,DEPLOYED,None,None,None,None,None
2026-02-18T10:51:06.000000000,Flag,RED FLAG,None,RED,Track,None,None,None
2026-02-18T10:51:06.000000000,Flag,CLEAR IN TRACK SECTOR 11,None,CLEAR,Sector,11.0,None,None
2026-02-18T10:51:06.000000000,Flag,CLEAR IN TRACK SECTOR 15,None,CLEAR,Sector,15.0,None,None
2026-02-18T10:53:29.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
2026-02-18T10:53:52.000000000,Other,ROLLING START,None,None,None,None,None,None
2026-02-18T10:55:26.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,None,DOUBLE YELLOW,Sector,2.0,None,None
2026-02-18T10:55:47.000000000,Flag,CLEAR IN TRACK SECTOR 2,None,CLEAR,Sector,2.0,None,None
2026-02-18T10:55:50.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,None,DOUBLE YELLOW,Sector,17.0,None,None
2026-02-18T10:55:55.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,None,DOUBLE YELLOW,Sector,18.0,None,None
2026-02-18T10:57:30.000000000,Flag,CLEAR IN TRACK SECTOR 17,None,CLEAR,Sector,17.0,None,None
2026-02-18T10:57:47.000000000,Flag,CLEAR IN TRACK SECTOR 18,None,CLEAR,Sector,18.0,None,None
2026-02-18T10:58:43.000000000,Other,ALL CARS THROUGH THE PIT LANE,None,None,None,None,None,None
2026-02-18T10:58:52.000000000,Flag,RED FLAG,None,RED,Track,None,None,None
2026-02-18T11:00:43.000000000,Other,PIT LANE ENTRY OPEN,None,None,None,None,None,None
2026-02-18T11:00:49.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
2026-02-18T12:00:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-02-18T12:57:59.000000000,Flag,YELLOW IN TRACK SECTOR 12,None,YELLOW,Sector,12.0,None,None
2026-02-18T12:58:18.000000000,Other,RED FLAG - RACE SUSPENDED,None,None,None,None,None,None
2026-02-18T13:00:03.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
2026-02-18T13:00:32.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,None,DOUBLE YELLOW,Sector,12.0,None,None
2026-02-18T13:05:28.000000000,Flag,CLEAR IN TRACK SECTOR 12,None,CLEAR,Sector,12.0,None,None
2026-02-18T13:05:36.000000000,Other,SESSION WILL RESUME AT 16:06,None,None,None,None,None,None
2026-02-18T13:06:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-02-18T13:22:32.000000000,Other,OVERTAKE ENABLED,None,None,None,None,None,None
2026-02-18T13:28:33.000000000,Other,YELLOW IN PIT LANE,None,None,None,None,None,None
2026-02-18T13:31:06.000000000,Other,PIT LANE ENTRY OPEN,None,None,None,None,None,None
2026-02-18T14:53:54.000000000,Other,TEST: AIR TEMPERATURE 1 HOUR BEFORE P1 = 23 DEGREES,None,None,None,None,None,None
2026-02-18T15:50:02.000000000,SafetyCar,VSC DEPLOYED,DEPLOYED,None,None,None,None,None
2026-02-18T15:50:04.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,None,DOUBLE YELLOW,Sector,1.0,None,None
2026-02-18T15:50:07.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,None,DOUBLE YELLOW,Sector,7.0,None,None
2026-02-18T15:50:42.000000000,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,None,None,None,None,None
2026-02-18T15:50:56.000000000,Other,RED FLAG - RACE SUSPENDED,None,None,None,None,None,None
2026-02-18T15:53:23.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
2026-02-18T15:53:24.000000000,Other,RACE WILL RESUME AT 18:54,None,None,None,None,None,None
2026-02-18T15:54:43.000000000,Other,STANDING START,None,None,None,None,None,None
2026-02-18T15:57:18.000000000,Other,EXTRA FORMATION LAP,None,None,None,None,None,None
2026-02-18T15:58:02.000000000,Other,STANDING START,None,None,None,None,None,None
2026-02-18T16:00:44.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,None,DOUBLE YELLOW,Sector,2.0,None,None
2026-02-18T16:01:13.000000000,Flag,CLEAR IN TRACK SECTOR 2,None,CLEAR,Sector,2.0,None,None
2026-02-18T16:01:25.000000000,Other,RED FLAG - RACE SUSPENDED,None,None,None,None,None,None
2026-02-18T16:03:01.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
