wT,wAT,wH,wP,wR,wTT,wWD,wWS
50.753,19.9,81.5,1017.5,False,29.2,208,1.0
110.78,20.0,80.2,1017.5,False,29.2,187,1.5
170.777,20.0,78.4,1017.5,False,29.1,198,1.2
230.759,20.1,78.7,1017.5,False,29.3,173,2.1
290.801,20.1,78.3,1017.5,False,29.5,191,1.7
350.769,20.1,79.0,1017.5,False,29.2,0,0.0
410.766,20.2,79.8,1017.5,False,28.5,226,0.8
470.773,20.3,79.8,1017.5,False,29.3,0,0.0
530.786,20.3,79.3,1017.4,False,29.9,190,2.0
590.794,20.3,78.8,1017.5,False,30.1,147,0.9
650.79,20.4,78.7,1017.4,False,29.8,197,1.5
710.819,20.4,77.5,1017.4,False,30.5,179,0.7
770.826,20.4,78.0,1017.5,False,29.0,212,1.5
830.817,20.6,76.8,1017.3,False,30.2,187,1.8
890.816,20.7,76.2,1017.5,False,30.4,201,1.9
950.817,20.8,75.1,1017.3,False,30.7,160,1.1
1010.839,20.8,74.3,1017.4,False,29.4,234,1.0
1070.845,20.8,73.9,1017.4,False,29.8,208,1.4
1130.827,20.9,72.7,1017.3,False,30.2,224,0.6
1190.845,20.9,72.1,1017.3,False,31.1,187,0.7
1250.82,20.9,71.7,1017.3,False,30.7,0,0.0
1310.819,21.0,71.7,1017.3,False,30.5,206,0.5
1370.825,21.1,70.9,1017.3,False,31.2,203,2.0
1430.844,21.3,70.4,1017.3,False,31.7,192,1.6
1490.833,21.4,69.6,1017.3,False,31.5,192,2.2
1550.838,21.5,66.6,1017.3,False,31.6,189,1.5
1610.856,21.6,67.4,1017.4,False,31.4,115,0.9
1670.821,21.8,68.1,1017.3,False,31.2,179,1.3
1730.848,21.8,67.9,1017.3,False,32.0,187,1.9
1790.848,21.9,67.6,1017.2,False,32.0,182,1.4
1850.845,22.0,67.6,1017.3,False,31.8,201,1.9
1910.85,22.0,67.7,1017.3,False,31.2,210,1.3
1970.872,22.1,67.9,1017.3,False,32.0,212,0.7
2030.903,22.3,69.0,1017.3,False,31.2,180,1.3
2090.921,22.3,69.3,1017.3,False,32.4,181,1.5
2150.922,22.3,68.7,1017.2,False,32.4,183,0.6
2210.937,22.3,68.8,1017.3,False,32.5,186,1.1
2270.934,22.3,69.0,1017.3,False,32.7,189,1.8
2330.938,22.2,69.8,1017.2,False,32.0,206,1.5
2390.95,22.4,69.8,1017.2,False,31.4,213,1.8
2450.941,22.6,69.1,1017.2,False,32.7,173,0.7
2510.951,22.7,67.8,1017.3,False,31.0,236,1.3
2570.975,22.6,67.3,1017.3,False,33.2,186,0.5
2630.971,22.8,66.3,1017.2,False,33.6,171,1.2
2690.976,22.8,64.8,1017.1,False,33.1,151,0.6
2750.998,22.8,64.4,1017.1,False,33.2,199,1.1
2811.005,22.9,64.7,1017.3,False,33.5,200,0.9
2871.002,23.1,66.7,1017.1,False,32.6,222,2.3
2931.028,23.1,65.9,1017.2,False,32.1,202,1.7
2991.039,23.1,67.6,1017.1,False,33.6,198,2.1
3051.032,23.0,67.0,1017.2,False,32.4,208,3.2
3111.049,22.9,67.1,1017.2,False,33.7,191,1.3
3171.068,22.8,68.0,1017.2,False,33.7,201,1.3
3231.062,23.0,68.5,1017.2,False,32.3,229,2.1
3291.067,23.0,67.7,1017.2,False,32.7,233,1.9
3351.083,23.2,67.4,1017.2,False,33.2,215,1.9
3411.079,23.1,67.3,1017.3,False,33.5,229,1.5
3471.066,23.2,67.0,1017.2,False,34.4,198,1.5
3531.067,23.2,67.7,1017.2,False,33.7,214,1.8
3591.066,23.1,67.9,1017.2,False,33.5,211,2.0
3651.081,23.1,67.7,1017.1,False,33.7,223,1.4
3711.081,23.2,67.6,1017.2,False,34.2,201,0.9
