wT,wAT,wH,wP,wR,wTT,wWD,wWS
9.203,21.0,81.7,1018.1,False,29.3,275,0.4
69.207,21.0,81.6,1018.2,False,29.9,41,0.7
129.226,21.1,81.0,1018.2,False,28.8,239,0.6
189.993,21.2,78.2,1018.1,False,30.0,116,1.1
250.063,21.2,77.2,1018.2,False,30.4,126,0.5
309.219,21.2,76.8,1018.2,False,30.0,0,0.0
369.68,21.3,77.1,1018.1,False,29.4,208,1.3
429.284,21.4,77.3,1018.2,False,30.0,217,1.4
489.286,21.4,77.8,1018.1,False,29.6,236,0.9
549.295,21.5,77.8,1018.0,False,30.5,0,0.0
609.316,21.5,76.8,1018.0,False,29.8,12,0.3
669.971,21.5,74.9,1018.1,False,30.5,121,0.7
729.305,21.5,73.0,1018.1,False,31.1,33,1.1
789.323,21.6,72.6,1018.0,False,31.1,86,1.4
849.346,21.6,71.8,1018.0,False,30.5,278,0.6
909.365,21.7,69.4,1018.0,False,31.4,200,1.0
969.366,21.8,67.2,1018.0,False,30.9,97,0.4
1029.802,21.8,65.6,1018.0,False,31.2,342,0.7
1089.346,21.9,65.6,1018.0,False,31.1,205,0.6
1149.354,22.0,64.1,1018.0,False,31.5,202,0.8
1209.383,22.1,63.4,1017.9,False,32.1,183,1.2
1269.553,22.2,62.2,1018.0,False,31.2,341,0.5
1329.396,22.3,60.2,1017.9,False,32.0,0,0.0
1389.409,22.3,57.2,1017.9,False,30.3,249,1.5
1449.716,22.4,55.8,1017.8,False,32.0,192,1.6
1509.415,22.5,56.1,1017.9,False,32.4,188,2.1
1569.444,22.6,56.3,1017.8,False,31.5,207,2.6
1629.446,22.7,57.6,1017.8,False,32.3,200,1.7
1689.448,22.8,56.3,1017.9,False,32.3,195,2.0
1749.492,22.9,54.9,1017.8,False,31.7,216,1.6
1810.049,22.9,55.5,1017.8,False,31.6,215,1.8
1869.477,22.9,57.1,1017.9,False,32.1,222,1.1
1929.499,23.0,57.7,1017.8,False,32.8,206,1.1
1989.499,23.1,56.7,1017.8,False,32.5,197,1.5
2049.5,23.2,56.0,1017.8,False,32.3,227,2.0
2109.5,23.2,55.1,1017.7,False,33.4,137,0.7
2169.501,23.3,56.0,1017.8,False,33.1,189,1.0
2229.524,23.3,56.4,1017.7,False,33.4,175,0.6
2289.509,23.4,53.8,1017.7,False,33.0,208,2.7
2349.529,23.4,51.9,1017.7,False,33.2,204,1.7
2409.539,23.4,52.5,1017.7,False,33.3,209,2.0
2469.554,23.4,55.5,1017.7,False,33.2,213,0.8
2529.556,23.4,55.8,1017.8,False,34.1,129,0.6
2589.556,23.5,54.8,1017.7,False,33.9,190,0.8
2649.548,23.5,53.0,1017.6,False,33.8,200,2.6
2709.566,23.5,52.0,1017.7,False,32.0,232,1.7
2769.557,23.6,50.6,1017.6,False,33.5,193,1.3
2829.588,23.6,50.5,1017.6,False,33.8,206,0.7
2889.598,23.7,50.8,1017.6,False,34.6,329,0.3
2949.59,23.8,49.5,1017.6,False,33.2,210,1.9
3009.596,23.8,48.3,1017.6,False,33.7,194,1.7
3070.257,23.9,48.4,1017.6,False,33.3,228,1.9
3129.599,24.0,47.3,1017.6,False,34.4,198,2.7
3189.625,23.9,46.7,1017.5,False,34.5,198,2.1
3250.434,24.0,45.8,1017.5,False,34.6,206,0.9
3310.483,24.0,48.5,1017.6,False,33.9,230,0.6
3369.62,24.1,47.8,1017.5,False,34.6,204,1.7
3429.635,24.1,47.8,1017.5,False,34.8,176,1.7
3489.618,24.0,48.0,1017.4,False,35.3,195,2.3
3549.735,24.1,45.7,1017.4,False,34.3,208,1.9
3609.646,24.0,47.2,1017.5,False,35.3,190,0.9
3669.878,24.1,47.4,1017.5,False,33.0,206,2.0
3729.681,23.9,47.4,1017.4,False,34.1,194,1.3
3789.65,24.0,45.5,1017.5,False,34.1,180,1.4
3849.654,24.0,44.7,1017.4,False,34.1,194,2.0
3909.641,24.1,40.2,1017.4,False,39.2,196,2.8
3969.643,24.2,42.3,1017.4,False,39.1,194,2.2
4029.652,24.2,41.5,1017.4,False,39.3,200,2.5
4089.641,24.3,42.4,1017.3,False,39.3,219,2.8
4149.645,24.3,40.7,1017.4,False,39.3,213,2.1
4209.639,24.3,43.1,1017.3,False,39.1,209,2.0
4269.64,24.3,43.9,1017.3,False,39.1,219,2.0
4329.647,24.3,44.3,1017.3,False,38.7,218,0.6
4389.654,24.3,46.4,1017.3,False,38.7,17,0.4
4449.673,24.4,45.7,1017.3,False,38.1,328,0.5
4509.654,24.5,45.0,1017.3,False,39.4,11,0.7
4569.663,24.5,44.3,1017.3,False,39.0,0,0.0
4629.668,24.6,44.0,1017.3,False,39.2,299,1.0
4689.668,24.6,45.4,1017.3,False,39.0,207,1.4
4749.689,24.6,43.3,1017.3,False,39.3,204,1.6
4809.699,24.6,43.3,1017.3,False,39.7,195,1.3
4869.705,24.6,43.7,1017.3,False,39.6,191,1.7
4929.698,24.7,39.1,1017.2,False,39.8,194,2.3
4989.699,24.7,39.2,1017.2,False,39.5,168,1.3
5049.706,24.7,41.7,1017.2,False,39.9,189,1.1
5109.698,24.7,36.7,1017.1,False,39.9,190,2.1
5169.808,24.7,37.8,1017.2,False,40.0,208,2.5
5229.706,24.6,38.8,1017.1,False,39.9,185,2.4
5289.718,24.6,37.1,1017.2,False,40.0,188,1.5
5349.733,24.7,39.1,1017.1,False,40.2,202,2.5
5409.761,24.8,40.4,1017.2,False,40.0,188,2.4
5469.741,24.7,40.3,1017.2,False,40.3,190,2.6
5529.771,24.7,40.8,1017.1,False,40.3,190,1.0
5589.779,24.8,40.8,1017.0,False,40.5,207,3.5
5649.772,24.8,40.6,1017.1,False,39.8,181,2.2
5709.772,24.8,40.1,1017.0,False,39.8,177,0.9
5769.785,24.9,39.3,1017.0,False,40.3,222,1.7
5829.773,24.8,39.2,1017.0,False,40.6,189,2.4
5889.829,24.8,39.4,1016.9,False,40.8,202,3.7
5949.825,24.9,40.1,1017.0,False,40.7,194,1.5
6009.846,24.9,40.9,1016.9,False,40.4,185,2.8
6070.17,24.9,40.3,1016.8,False,40.3,202,3.2
6129.854,24.9,40.3,1016.8,False,40.6,218,3.0
6189.851,24.8,40.4,1016.8,False,40.5,205,2.9
6249.856,24.8,39.3,1016.8,False,40.7,198,1.7
6309.877,25.0,40.4,1016.8,False,40.7,203,3.6
6369.915,25.0,40.5,1016.8,False,40.7,176,1.4
6430.527,25.0,40.2,1016.7,False,40.9,188,3.4
6489.925,25.0,40.3,1016.7,False,41.1,194,2.1
6549.944,25.0,39.0,1016.6,False,40.9,220,2.1
6609.953,25.1,38.6,1016.6,False,41.5,204,2.2
6669.977,25.2,36.8,1016.6,False,41.3,197,2.7
6730.303,25.4,35.6,1016.5,False,41.4,202,3.0
6789.981,25.5,36.2,1016.5,False,41.8,206,2.2
6849.974,25.6,35.6,1016.5,False,41.9,187,3.2
6910.475,25.7,34.4,1016.5,False,41.8,196,4.0
6970.003,25.9,31.2,1016.5,False,41.7,190,2.6
7030.007,26.0,29.7,1016.5,False,41.7,204,4.3
7090.044,26.1,29.0,1016.6,False,41.9,200,3.9
7150.018,26.1,29.2,1016.6,False,41.6,213,1.9
7210.04,26.2,28.9,1016.5,False,42.2,209,2.5
7270.046,26.3,28.3,1016.5,False,42.1,191,3.8
7330.048,26.2,28.4,1016.5,False,42.0,193,2.6
7390.057,26.1,28.2,1016.5,False,42.1,203,3.3
7450.071,26.2,25.4,1016.4,False,42.0,196,2.9
7510.108,26.3,26.2,1016.4,False,41.9,181,3.4
7570.096,26.3,25.5,1016.4,False,42.2,189,2.7
7630.106,26.4,26.7,1016.4,False,42.1,188,2.5
7690.158,26.4,27.9,1016.5,False,42.5,212,2.7
