time,cat,msg,status,flag,scope,sector,dNum,lap
2026-02-20T06:48:12.000000000,Other,PINK HEAD PADDING MATERIAL MUST BE USED,None,None,None,None,None,None
2026-02-20T06:48:12.000000000,Other,PINK HEAD PADDING MATERIAL MUST BE USED,None,None,None,None,None,None
2026-02-20T07:00:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-02-20T09:11:03.000000000,Flag,YELLOW IN TRACK SECTOR 11,None,YELLOW,Sector,11.0,None,None
2026-02-20T09:11:25.000000000,Other,RED FLAG - RACE SUSPENDED,None,None,None,None,None,None
2026-02-20T09:13:18.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
2026-02-20T09:13:20.000000000,Flag,YELLOW IN TRACK SECTOR 11,None,YELLOW,Sector,11.0,None,None
2026-02-20T09:16:01.000000000,Flag,CLEAR IN TRACK SECTOR 11,None,CLEAR,Sector,11.0,None,None
2026-02-20T09:16:10.000000000,Other,SESSION WILL RESUME AT 12:17,None,None,None,None,None,None
2026-02-20T09:17:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-02-20T09:23:00.000000000,Other,OVERTAKE ENABLED,None,None,None,None,None,None
2026-02-20T09:34:31.000000000,Other,YELLOW IN PIT LANE,None,None,None,None,None,None
2026-02-20T09:36:27.000000000,Other,PIT LANE ENTRY OPEN,None,None,None,None,None,None
2026-02-20T10:50:39.000000000,Other,STRAIGHT MODE - LOW GRIP,None,None,None,None,None,None
2026-02-20T10:51:20.000000000,Other,STRAIGHT MODE - NORMAL GRIP,None,None,None,None,None,None
2026-02-20T10:52:04.000000000,Other,RED FLAG - RACE SUSPENDED,None,None,None,None,None,None
2026-02-20T10:54:10.000000000,Other,RACE WILL RESUME AT 13:55,None,None,None,None,None,None
2026-02-20T10:54:13.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
2026-02-20T10:55:46.000000000,Other,STANDING START,None,None,None,None,None,None
2026-02-20T10:58:23.000000000,Other,EXTRA FORMATION LAP,None,None,None,None,None,None
2026-02-20T10:59:07.000000000,Other,STANDING START,None,None,None,None,None,None
2026-02-20T11:01:46.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,None,DOUBLE YELLOW,Sector,2.0,None,None
2026-02-20T11:02:14.000000000,Other,OVERTAKE ENABLED,None,None,None,None,None,None
2026-02-20T11:02:43.000000000,Other,RED FLAG - RACE SUSPENDED,None,None,None,None,None,None
2026-02-20T11:02:46.000000000,Flag,CLEAR IN TRACK SECTOR 2,None,CLEAR,Sector,2.0,None,None
2026-02-20T11:03:47.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
2026-02-20T12:00:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-02-20T15:52:02.000000000,Other,RED FLAG - RACE SUSPENDED,None,None,None,None,None,None
2026-02-20T15:54:28.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
2026-02-20T15:54:34.000000000,Other,RACE WILL RESUME AT 18:55,None,None,None,None,None,None
2026-02-20T15:55:38.000000000,Other,STANDING START,None,None,None,None,None,None
2026-02-20T15:58:19.000000000,Other,EXTRA FORMATION LAP,None,None,None,None,None,None
2026-02-20T15:59:07.000000000,Other,STANDING START,None,None,None,None,None,None
2026-02-20T16:01:54.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,None,DOUBLE YELLOW,Sector,2.0,None,None
2026-02-20T16:02:22.000000000,Other,OVERTAKE ENABLED,None,None,None,None,None,None
2026-02-20T16:02:32.000000000,Flag,CLEAR IN TRACK SECTOR 2,None,CLEAR,Sector,2.0,None,None
2026-02-20T16:02:40.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,None,DOUBLE YELLOW,Sector,2.0,None,None
2026-02-20T16:02:44.000000000,Flag,CLEAR IN TRACK SECTOR 2,None,CLEAR,Sector,2.0,None,None
2026-02-20T16:02:51.000000000,Other,RED FLAG - RACE SUSPENDED,None,None,None,None,None,None
2026-02-20T16:04:12.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
