event,session,path,csv_file_count
Japanese Grand Prix,Practice 1,Japanese Grand Prix/Practice 1,4
Japanese Grand Prix,Practice 2,Japanese Grand Prix/Practice 2,4
Japanese Grand Prix,Practice 3,Japanese Grand Prix/Practice 3,4
Japanese Grand Prix,Qualifying,Japanese Grand Prix/Qualifying,4
Japanese Grand Prix,Race,Japanese Grand Prix/Race,4
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1,4
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/ANT,31
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/PIA,55
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/GAS,50
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/VER,134
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/LIN,76
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/LEC,81
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/NOR,59
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/HAM,49
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/ALB,69
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/OCO,115
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/PER,59
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/BOR,50
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/SAI,78
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/BOT,47
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/RUS,57
Pre-Season Testing,Practice 1,Pre-Season Testing/Practice 1/HUL,69
Pre-Season Testing,Practice 2,Pre-Season Testing/Practice 2,4
Pre-Season Testing,Practice 3,Pre-Season Testing/Practice 3,4
