time,lap,compound,stint,s1,s2,s3,life,pos,status,pb,sesT,drv,dNum,pout,pin,s1T,s2T,s3T,vi1,vi2,vfl,vst,fresh,team,lST,lSD,del,delR,ff1G,iacc,wT,wAT,wH,wP,wR,wTT,wWD,wWS
None,1,HARD,1,None,47.53,27.614,9,None,1,False,21662.861,BOR,5,21550.501,None,None,21636.459,21663.05,201.0,231.0,278.0,152.0,False,Audi,21550.501,2026-02-18T12:47:01.187000000,False,None,False,False,770.826,20.4,78.0,1017.5,False,29.0,212,1.5
99.484,2,HARD,1,31.557,43.601,24.326,10,None,1,True,21762.345,BOR,5,None,None,21694.418,21738.019,21762.345,219.0,238.0,303.0,318.0,False,Audi,21662.861,2026-02-18T12:48:53.547000000,False,None,False,True,950.817,20.8,75.1,1017.3,False,30.7,160,1.1
125.195,3,HARD,1,41.612,54.616,28.967,11,None,1,False,21887.54,BOR,5,None,None,21803.957,21858.573,21887.54,148.0,220.0,293.0,211.0,False,Audi,21762.345,2026-02-18T12:50:33.031000000,False,None,False,True,1010.839,20.8,74.3,1017.4,False,29.4,234,1.0
103.678,4,HARD,1,31.167,43.323,29.188,12,None,1,False,21991.218,BOR,5,None,21990.311,21918.707,21962.03,21991.218,218.0,246.0,None,311.0,False,Audi,21887.54,2026-02-18T12:52:38.226000000,False,None,False,False,1130.827,20.9,72.7,1017.3,False,30.2,224,0.6
148.226,5,HARD,2,70.636,50.713,26.877,9,None,1,False,22139.444,BOR,5,22023.661,None,22061.854,22112.567,22139.444,183.0,232.0,293.0,114.0,False,Audi,21991.218,2026-02-18T12:54:21.904000000,False,None,False,False,1250.82,20.9,71.7,1017.3,False,30.7,0,0.0
None,6,HARD,2,31.099,44.863,None,10,None,125,False,23550.626,BOR,5,None,22247.311,22170.781,22215.723,None,218.0,233.0,None,313.0,False,Audi,22139.444,2026-02-18T12:56:50.130000000,False,None,False,False,1310.819,21.0,71.7,1017.3,False,30.5,206,0.5
None,7,HARD,3,None,46.452,28.498,1,None,1,False,23668.247,BOR,5,23550.626,None,None,23639.965,23668.369,220.0,228.0,283.0,133.0,True,Audi,23550.626,2026-02-18T13:20:21.312000000,False,None,False,False,1430.844,21.3,70.4,1017.3,False,31.7,192,1.6
96.448,8,HARD,3,30.48,42.283,23.685,2,None,1,True,23764.695,BOR,5,None,None,23698.727,23741.01,23764.695,220.0,248.0,304.0,322.0,True,Audi,23668.247,2026-02-18T13:22:18.933000000,False,None,False,True,2270.934,22.3,69.0,1017.3,False,32.7,189,1.8
143.236,9,HARD,3,43.784,69.065,30.387,3,None,1,False,23907.931,BOR,5,None,None,23808.479,23877.544,23907.931,131.0,198.0,290.0,244.0,True,Audi,23764.695,2026-02-18T13:23:55.381000000,False,None,False,True,2390.95,22.4,69.8,1017.2,False,31.4,213,1.8
96.602,10,HARD,3,30.621,42.225,23.756,4,None,1,False,24004.533,BOR,5,None,None,23938.552,23980.777,24004.533,221.0,248.0,304.0,319.0,True,Audi,23907.931,2026-02-18T13:26:18.617000000,False,None,False,True,2510.951,22.7,67.8,1017.3,False,31.0,236,1.3
118.197,11,HARD,3,37.146,50.247,30.804,5,None,1,False,24122.73,BOR,5,None,24120.981,24041.679,24091.926,24122.73,135.0,221.0,None,200.0,True,Audi,24004.533,2026-02-18T13:27:55.219000000,False,None,False,False,2630.971,22.8,66.3,1017.2,False,33.6,171,1.2
None,12,HARD,4,93.556,44.206,24.247,7,None,1,False,24284.744,BOR,5,24164.243,None,24216.476,24260.619,24284.885,217.0,239.0,301.0,174.0,False,Audi,24122.73,2026-02-18T13:29:53.416000000,False,None,False,False,2750.998,22.8,64.4,1017.1,False,33.2,199,1.1
98.67,13,HARD,4,31.382,43.316,23.972,8,None,1,False,24383.414,BOR,5,None,None,24316.126,24359.442,24383.414,218.0,238.0,302.0,298.0,False,Audi,24284.744,2026-02-18T13:32:35.430000000,False,None,False,True,2871.002,23.1,66.7,1017.1,False,32.6,222,2.3
98.633,14,HARD,4,31.233,43.273,24.127,9,None,1,False,24482.047,BOR,5,None,None,24414.647,24457.92,24482.047,218.0,238.0,302.0,300.0,False,Audi,24383.414,2026-02-18T13:34:14.100000000,False,None,False,True,3831.078,23.4,65.1,1017.0,False,34.8,185,2.4
98.301,15,HARD,4,31.163,43.2,23.938,10,None,1,False,24580.348,BOR,5,None,None,24513.21,24556.41,24580.348,218.0,238.0,303.0,301.0,False,Audi,24482.047,2026-02-18T13:35:52.733000000,False,None,False,True,3951.078,23.4,66.2,1017.1,False,34.8,167,0.9
98.775,16,HARD,4,31.257,43.446,24.072,11,None,1,False,24679.123,BOR,5,None,None,24611.605,24655.051,24679.123,219.0,237.0,303.0,300.0,False,Audi,24580.348,2026-02-18T13:37:31.034000000,False,None,False,True,4071.106,23.6,64.1,1017.0,False,34.5,208,2.0
98.384,17,HARD,4,31.296,43.167,23.921,12,None,1,False,24777.507,BOR,5,None,None,24710.419,24753.586,24777.507,219.0,238.0,304.0,301.0,False,Audi,24679.123,2026-02-18T13:39:09.809000000,False,None,False,True,4191.073,23.8,63.1,1017.1,False,34.6,213,1.8
98.67,18,HARD,4,31.104,43.61,23.956,13,None,1,False,24876.177,BOR,5,None,None,24808.611,24852.221,24876.177,218.0,238.0,304.0,300.0,False,Audi,24777.507,2026-02-18T13:40:48.193000000,False,None,False,True,4311.084,23.9,62.2,1017.0,False,35.5,199,2.7
98.331,19,HARD,4,31.252,43.063,24.016,14,None,1,False,24974.508,BOR,5,None,None,24907.429,24950.492,24974.508,219.0,239.0,304.0,300.0,False,Audi,24876.177,2026-02-18T13:42:26.863000000,False,None,False,True,4431.086,23.7,62.5,1017.0,False,35.6,177,1.9
98.224,20,HARD,4,31.118,43.212,23.894,15,None,1,False,25072.732,BOR,5,None,None,25005.626,25048.838,25072.732,219.0,239.0,304.0,300.0,False,Audi,24974.508,2026-02-18T13:44:05.194000000,False,None,False,True,4551.11,23.6,64.5,1016.9,False,35.6,179,2.2
98.472,21,HARD,4,31.236,43.307,23.929,16,None,1,False,25171.204,BOR,5,None,None,25103.968,25147.275,25171.204,219.0,239.0,304.0,301.0,False,Audi,25072.732,2026-02-18T13:45:43.418000000,False,None,False,True,6111.218,24.9,57.0,1016.4,False,37.1,201,1.7
101.846,22,HARD,4,31.142,46.638,24.066,17,None,1,False,25273.05,BOR,5,None,None,25202.346,25248.984,25273.05,220.0,239.0,302.0,302.0,False,Audi,25171.204,2026-02-18T13:47:21.890000000,False,None,False,True,6231.233,25.0,55.1,1016.4,False,37.5,189,1.0
98.665,23,HARD,4,31.347,43.318,24.0,18,None,1,False,25371.715,BOR,5,None,None,25304.397,25347.715,25371.715,219.0,239.0,304.0,298.0,False,Audi,25273.05,2026-02-18T13:49:03.736000000,False,None,False,True,6351.271,25.1,52.4,1016.4,False,37.0,208,1.7
102.18,24,HARD,4,31.306,43.56,27.314,19,None,1,False,25473.895,BOR,5,None,25472.036,25403.021,25446.581,25473.895,219.0,246.0,None,300.0,False,Audi,25371.715,2026-02-18T13:50:42.401000000,False,None,False,False,6471.246,25.3,53.5,1016.4,False,36.7,206,1.8
128.26,25,HARD,5,55.296,44.28,28.684,15,None,1,False,25602.155,BOR,5,25497.528,25600.355,25529.191,25573.471,25602.155,219.0,243.0,None,206.0,False,Audi,25473.895,2026-02-18T13:52:24.581000000,False,None,False,False,6591.262,25.3,54.4,1016.3,False,36.5,255,1.3
None,26,HARD,6,None,47.464,27.987,1,None,1,False,26491.771,BOR,5,26360.468,None,None,26463.98,26491.888,219.0,217.0,290.0,186.0,True,Audi,25602.155,2026-02-18T13:54:32.841000000,False,None,False,False,6711.258,25.4,55.0,1016.3,False,38.1,191,2.7
124.771,27,HARD,6,38.665,56.461,29.645,2,None,1,False,26616.542,BOR,5,None,None,26530.436,26586.897,26616.542,161.0,225.0,291.0,332.0,True,Audi,26491.771,2026-02-18T14:09:22.457000000,False,None,False,True,8091.282,26.8,38.2,1016.0,False,39.4,354,1.8
96.278,28,HARD,6,30.57,42.181,23.527,3,None,1,True,26712.82,BOR,5,None,None,26647.112,26689.293,26712.82,223.0,249.0,293.0,326.0,True,Audi,26616.542,2026-02-18T14:11:27.228000000,False,None,False,True,8211.293,26.5,40.5,1015.9,False,40.0,31,0.5
140.854,29,HARD,6,53.253,60.351,27.25,4,None,1,False,26853.674,BOR,5,None,None,26766.073,26826.424,26853.674,106.0,216.0,292.0,195.0,True,Audi,26712.82,2026-02-18T14:13:03.506000000,False,None,False,True,8331.304,26.2,40.0,1015.8,False,40.2,211,0.6
96.162,30,HARD,6,30.549,42.071,23.542,5,None,1,True,26949.836,BOR,5,None,None,26884.223,26926.294,26949.836,221.0,250.0,289.0,322.0,True,Audi,26853.674,2026-02-18T14:15:24.360000000,False,None,False,True,8451.271,26.5,39.0,1015.8,False,40.3,183,0.5
110.07,31,HARD,6,33.736,46.682,29.652,6,None,1,False,27059.906,BOR,5,None,27058.79,26983.572,27030.254,27059.906,113.0,238.0,None,294.0,True,Audi,26949.836,2026-02-18T14:17:00.522000000,False,None,False,False,8511.304,26.7,44.2,1015.9,False,39.7,308,1.0
None,32,HARD,7,83.572,44.023,24.061,7,None,1,False,27211.587,BOR,5,27091.514,None,27143.719,27187.782,27211.729,219.0,241.0,304.0,191.0,False,Audi,27059.906,2026-02-18T14:18:50.592000000,False,None,False,False,8631.298,26.4,54.7,1015.8,False,40.1,44,1.0
97.635,33,HARD,7,31.052,43.023,23.56,8,None,1,False,27309.222,BOR,5,None,None,27242.639,27285.662,27309.222,220.0,239.0,307.0,300.0,False,Audi,27211.587,2026-02-18T14:21:22.273000000,False,None,False,True,8751.291,25.9,56.0,1015.8,False,39.0,123,0.8
97.615,34,HARD,7,30.89,42.988,23.737,9,None,1,False,27406.837,BOR,5,None,None,27340.112,27383.1,27406.837,220.0,239.0,307.0,306.0,False,Audi,27309.222,2026-02-18T14:22:59.908000000,False,None,False,True,8811.3,25.7,57.2,1015.7,False,38.2,55,3.0
97.684,35,HARD,7,30.857,43.099,23.728,10,None,1,False,27504.521,BOR,5,None,None,27437.694,27480.793,27504.521,220.0,239.0,306.0,307.0,False,Audi,27406.837,2026-02-18T14:24:37.523000000,False,None,False,True,8931.311,25.4,58.0,1015.7,False,38.0,348,1.5
98.329,36,HARD,7,31.009,43.313,24.007,11,None,1,False,27602.85,BOR,5,None,None,27535.53,27578.843,27602.85,219.0,240.0,314.0,306.0,False,Audi,27504.521,2026-02-18T14:26:15.207000000,False,None,False,True,9051.317,25.2,56.6,1015.7,False,39.1,62,0.9
97.961,37,HARD,7,31.007,43.208,23.746,12,None,1,False,27700.811,BOR,5,None,None,27633.857,27677.065,27700.811,220.0,239.0,304.0,315.0,False,Audi,27602.85,2026-02-18T14:27:53.536000000,False,None,False,True,9111.339,25.2,57.6,1015.6,False,39.5,27,0.9
98.124,38,HARD,7,31.151,43.267,23.706,13,None,1,False,27798.935,BOR,5,None,None,27731.962,27775.229,27798.935,220.0,239.0,305.0,301.0,False,Audi,27700.811,2026-02-18T14:29:31.497000000,False,None,False,True,9951.417,25.3,54.0,1015.4,False,39.9,120,0.4
98.047,39,HARD,7,31.137,43.043,23.867,14,None,1,False,27896.982,BOR,5,None,None,27830.072,27873.115,27896.982,220.0,239.0,305.0,301.0,False,Audi,27798.935,2026-02-18T14:31:09.621000000,False,None,False,True,10071.438,25.4,54.7,1015.3,False,40.4,50,1.3
99.978,40,HARD,7,31.21,44.772,23.996,15,None,1,False,27996.96,BOR,5,None,None,27928.192,27972.964,27996.96,220.0,239.0,304.0,300.0,False,Audi,27896.982,2026-02-18T14:32:47.668000000,False,None,False,True,10191.454,25.3,56.0,1015.4,False,39.6,349,1.3
98.521,41,HARD,7,31.319,43.292,23.91,16,None,1,False,28095.481,BOR,5,None,None,28028.279,28071.571,28095.481,219.0,239.0,304.0,300.0,False,Audi,27996.96,2026-02-18T14:34:27.646000000,False,None,False,True,10251.442,25.3,56.4,1015.4,False,39.4,334,0.9
98.495,42,HARD,7,31.226,43.524,23.745,17,None,1,False,28193.976,BOR,5,None,None,28126.707,28170.231,28193.976,219.0,239.0,304.0,298.0,False,Audi,28095.481,2026-02-18T14:36:06.167000000,False,None,False,True,10371.445,25.3,56.0,1015.4,False,40.3,15,0.8
104.323,43,HARD,7,31.271,45.201,27.851,18,None,1,False,28298.299,BOR,5,None,28296.471,28225.247,28270.448,28298.299,223.0,240.0,None,298.0,False,Audi,28193.976,2026-02-18T14:37:44.662000000,False,None,False,False,10491.461,25.5,55.3,1015.3,False,39.8,231,0.7
128.792,44,HARD,8,55.858,44.53,28.404,7,None,1,False,28427.091,BOR,5,28322.879,28425.309,28354.157,28398.687,28427.091,219.0,230.0,None,209.0,False,Audi,28298.299,2026-02-18T14:39:28.985000000,False,None,False,False,10551.459,25.6,53.3,1015.4,False,39.8,6,0.9
None,45,HARD,9,None,45.565,26.831,1,None,1,False,29179.165,BOR,5,29052.314,None,None,29152.514,29179.325,216.0,232.0,294.0,126.0,True,Audi,28427.091,2026-02-18T14:41:37.777000000,False,None,False,False,10671.459,25.5,53.8,1015.3,False,39.1,306,1.1
95.511,46,HARD,9,30.274,41.829,23.408,2,None,1,True,29274.676,BOR,5,None,None,29209.439,29251.268,29274.676,223.0,250.0,294.0,323.0,True,Audi,29179.165,2026-02-18T14:54:09.851000000,False,None,False,True,10791.477,25.4,55.2,1015.3,False,40.1,252,0.5
126.22,47,HARD,9,39.214,58.997,28.009,3,None,1,False,29400.896,BOR,5,None,None,29313.89,29372.887,29400.896,134.0,175.0,297.0,258.0,True,Audi,29274.676,2026-02-18T14:55:45.362000000,False,None,False,True,10851.499,25.4,55.2,1015.3,False,40.1,252,0.5
95.754,48,HARD,9,30.333,41.971,23.45,4,None,1,False,29496.65,BOR,5,None,None,29431.229,29473.2,29496.65,223.0,250.0,299.0,321.0,True,Audi,29400.896,2026-02-18T14:57:51.582000000,False,None,False,True,10971.508,25.6,53.4,1015.1,False,40.9,0,0.0
107.863,49,HARD,9,33.852,44.499,29.512,5,None,1,False,29604.513,BOR,5,None,29602.706,29530.502,29575.001,29604.513,222.0,233.0,None,234.0,True,Audi,29496.65,2026-02-18T14:59:27.336000000,False,None,False,False,11091.524,25.4,54.1,1015.2,False,40.7,2,0.9
None,50,HARD,10,88.696,43.848,27.143,6,None,1,False,29764.231,BOR,5,29638.93,29762.391,29693.465,29737.897,29764.328,219.0,241.0,None,145.0,False,Audi,29604.513,2026-02-18T15:01:15.199000000,False,None,False,False,11211.551,25.6,50.9,1015.2,False,40.0,278,0.6
128.249,51,HARD,11,60.096,44.244,23.909,7,None,1,False,29892.48,BOR,5,29782.455,None,29824.327,29868.571,29892.48,215.0,240.0,304.0,159.0,False,Audi,29764.231,2026-02-18T15:03:54.917000000,False,None,False,False,14043.499,26.3,45.4,1014.5,False,41.3,198,1.3
98.415,52,HARD,11,31.312,43.37,23.733,8,None,1,False,29990.895,BOR,5,None,None,29923.792,29967.162,29990.895,219.0,237.0,307.0,298.0,False,Audi,29892.48,2026-02-18T15:06:03.166000000,False,None,False,True,21592.23,25.9,45.4,1014.1,False,36.2,178,0.3
97.842,53,HARD,11,31.01,43.139,23.693,9,None,1,False,30088.737,BOR,5,None,None,30021.905,30065.044,30088.737,220.0,237.0,307.0,303.0,False,Audi,29990.895,2026-02-18T15:07:41.581000000,False,None,False,True,21712.231,26.0,44.2,1014.2,False,35.8,333,0.4
97.896,54,HARD,11,30.883,43.243,23.77,10,None,1,False,30186.633,BOR,5,None,None,30119.62,30162.863,30186.633,221.0,238.0,306.0,302.0,False,Audi,30088.737,2026-02-18T15:09:19.423000000,False,None,False,True,21772.232,25.9,44.3,1014.3,False,36.1,240,0.6
97.939,55,HARD,11,30.936,43.237,23.766,11,None,1,False,30284.572,BOR,5,None,None,30217.569,30260.806,30284.572,221.0,238.0,307.0,305.0,False,Audi,30186.633,2026-02-18T15:10:57.319000000,False,None,False,True,21892.25,25.9,44.2,1014.1,False,36.5,187,0.6
98.151,56,HARD,11,30.762,43.45,23.939,12,None,1,False,30382.723,BOR,5,None,None,30315.334,30358.784,30382.723,220.0,238.0,304.0,304.0,False,Audi,30284.572,2026-02-18T15:12:35.258000000,False,None,False,True,22012.23,25.9,46.1,1014.3,False,35.4,346,0.9
