season,round,race_name,race_slug,date,time,circuit_id,circuit_name,locality,country,firstpractice_date,firstpractice_time,secondpractice_date,secondpractice_time,thirdpractice_date,thirdpractice_time,qualifying_date,qualifying_time,sprint_date,sprint_time,sprintqualifying_date,sprintqualifying_time
2024,1,Bahrain Grand Prix,bahrain-grand-prix,2024-03-02,15:00:00Z,bahrain,Bahrain International Circuit,Sakhir,Bahrain,2024-02-29,11:30:00Z,2024-02-29,15:00:00Z,2024-03-01,12:30:00Z,2024-03-01,16:00:00Z,,,,
2024,2,Saudi Arabian Grand Prix,saudi-arabian-grand-prix,2024-03-09,17:00:00Z,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,2024-03-07,13:30:00Z,2024-03-07,17:00:00Z,2024-03-08,13:30:00Z,2024-03-08,17:00:00Z,,,,
2024,3,Australian Grand Prix,australian-grand-prix,2024-03-24,04:00:00Z,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,2024-03-22,01:30:00Z,2024-03-22,05:00:00Z,2024-03-23,01:30:00Z,2024-03-23,05:00:00Z,,,,
2024,4,Japanese Grand Prix,japanese-grand-prix,2024-04-07,05:00:00Z,suzuka,Suzuka Circuit,Suzuka,Japan,2024-04-05,02:30:00Z,2024-04-05,06:00:00Z,2024-04-06,02:30:00Z,2024-04-06,06:00:00Z,,,,
2024,5,Chinese Grand Prix,chinese-grand-prix,2024-04-21,07:00:00Z,shanghai,Shanghai International Circuit,Shanghai,China,2024-04-19,03:30:00Z,,,,,2024-04-20,07:00:00Z,2024-04-20,03:00:00Z,2024-04-19,07:30:00Z
2024,6,Miami Grand Prix,miami-grand-prix,2024-05-05,20:00:00Z,miami,Miami International Autodrome,Miami,USA,2024-05-03,16:30:00Z,,,,,2024-05-04,20:00:00Z,2024-05-04,16:00:00Z,2024-05-03,20:30:00Z
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2024-05-19,13:00:00Z,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,2024-05-17,11:30:00Z,2024-05-17,15:00:00Z,2024-05-18,10:30:00Z,2024-05-18,14:00:00Z,,,,
2024,8,Monaco Grand Prix,monaco-grand-prix,2024-05-26,13:00:00Z,monaco,Circuit de Monaco,Monte-Carlo,Monaco,2024-05-24,11:30:00Z,2024-05-24,15:00:00Z,2024-05-25,10:30:00Z,2024-05-25,14:00:00Z,,,,
2024,9,Canadian Grand Prix,canadian-grand-prix,2024-06-09,18:00:00Z,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,2024-06-07,17:30:00Z,2024-06-07,21:00:00Z,2024-06-08,16:30:00Z,2024-06-08,20:00:00Z,,,,
2024,10,Spanish Grand Prix,spanish-grand-prix,2024-06-23,13:00:00Z,catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,2024-06-21,11:30:00Z,2024-06-21,15:00:00Z,2024-06-22,10:30:00Z,2024-06-22,14:00:00Z,,,,
2024,11,Austrian Grand Prix,austrian-grand-prix,2024-06-30,13:00:00Z,red_bull_ring,Red Bull Ring,Spielberg,Austria,2024-06-28,10:30:00Z,,,,,2024-06-29,14:00:00Z,2024-06-29,10:00:00Z,2024-06-28,14:30:00Z
2024,12,British Grand Prix,british-grand-prix,2024-07-07,14:00:00Z,silverstone,Silverstone Circuit,Silverstone,UK,2024-07-05,11:30:00Z,2024-07-05,15:00:00Z,2024-07-06,10:30:00Z,2024-07-06,14:00:00Z,,,,
2024,13,Hungarian Grand Prix,hungarian-grand-prix,2024-07-21,13:00:00Z,hungaroring,Hungaroring,Budapest,Hungary,2024-07-19,11:30:00Z,2024-07-19,15:00:00Z,2024-07-20,10:30:00Z,2024-07-20,14:00:00Z,,,,
2024,14,Belgian Grand Prix,belgian-grand-prix,2024-07-28,13:00:00Z,spa,Circuit de Spa-Francorchamps,Spa,Belgium,2024-07-26,11:30:00Z,2024-07-26,15:00:00Z,2024-07-27,10:30:00Z,2024-07-27,14:00:00Z,,,,
