season,round,race_name,race_slug,lap,driver_id,position_on_lap,lap_time,lap_time_ms
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,max_verstappen,1,1:22.881,82881
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,norris,2,1:23.764,83764
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,leclerc,3,1:24.580,84580
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,sainz,4,1:25.149,85149
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,piastri,5,1:25.726,85726
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,russell,6,1:26.498,86498
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,hamilton,7,1:27.111,87111
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,hulkenberg,8,1:27.748,87748
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,tsunoda,9,1:28.256,88256
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,perez,10,1:28.775,88775
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,ricciardo,11,1:29.351,89351
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,ocon,12,1:29.949,89949
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,stroll,13,1:30.475,90475
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,albon,14,1:31.012,91012
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,gasly,15,1:31.369,91369
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,kevin_magnussen,16,1:31.891,91891
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,bottas,17,1:32.273,92273
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,zhou,18,1:32.781,92781
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,sargeant,19,1:33.076,93076
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,alonso,20,1:33.648,93648
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,max_verstappen,1,1:20.596,80596
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,norris,2,1:20.673,80673
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,leclerc,3,1:20.926,80926
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,sainz,4,1:21.102,81102
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,piastri,5,1:21.311,81311
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,russell,6,1:21.562,81562
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,hamilton,7,1:21.841,81841
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,hulkenberg,8,1:22.111,82111
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,tsunoda,9,1:22.366,82366
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,perez,10,1:22.599,82599
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,ricciardo,11,1:22.795,82795
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,ocon,12,1:22.923,82923
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,stroll,13,1:23.115,83115
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,albon,14,1:23.115,83115
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,gasly,15,1:23.214,83214
