season,round,raceId,race_name,race_slug,date,circuitId,circuitRef,circuit_name,circuit_location,country,driverId,driverRef,driver_number,driver_code,driver_name,nationality,constructorId,constructorRef,constructor_name_norm,constructor_name,grid,quali_position,q1,q2,q3,q1_ms,q2_ms,q3_ms,best_quali_ms,position,positionText,positionOrder,points,laps,milliseconds,status_text,rank,fastestLapTime,fastestLapTime_ms,fastestLapSpeed,avg_race_lap_ms,median_race_lap_ms,fastest_recorded_lap_ms,lap_count_recorded,total_pit_stops,avg_pitstop_ms,fastest_pitstop_ms,avg_temp,rain_flag,wind,avg_finish_last5,avg_grid_last5,points_last5
2007,1,36,Australian Grand Prix,australian-grand-prix,2007-03-18,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,1,hamilton,44,HAM,Lewis Hamilton,British,1,mclaren,McLaren,McLaren,4,4.0,1:26.674,1:25.577,1:26.755,86674.0,85577.0,86755.0,85577.0,3,3,3,6.0,58,5147365.0,Finished,3.0,1:26.351,86351.0,221.083,88747.6724137931,87790.5,86351.0,58.0,,,,10.904166666666669,1.0,19.5,,,
2007,2,37,Malaysian Grand Prix,malaysian-grand-prix,2007-04-08,2,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,1,hamilton,44,HAM,Lewis Hamilton,British,1,mclaren,McLaren,McLaren,4,4.0,1:35.028,1:34.650,1:36.045,95028.0,94650.0,96045.0,94650.0,2,2,2,8.0,56,5552487.0,Finished,1.0,1:36.701,96701.0,206.355,99151.55357142857,98147.5,96701.0,56.0,,,,,,,3.0,4.0,6.0
2007,3,38,Bahrain Grand Prix,bahrain-grand-prix,2007-04-15,3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,1,hamilton,44,HAM,Lewis Hamilton,British,1,mclaren,McLaren,McLaren,2,2.0,1:32.580,1:31.752,1:32.935,92580.0,91752.0,92935.0,91752.0,2,2,2,8.0,57,5609875.0,Finished,2.0,1:34.270,94270.0,206.674,98418.85964912281,95065.0,94270.0,57.0,,,,,,,2.5,4.0,14.0
2007,4,39,Spanish Grand Prix,spanish-grand-prix,2007-05-13,4,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,1,hamilton,44,HAM,Lewis Hamilton,British,1,mclaren,McLaren,McLaren,4,4.0,1:21.120,1:20.713,1:21.785,81120.0,80713.0,81785.0,80713.0,2,2,2,8.0,65,5503020.0,Finished,2.0,1:22.876,82876.0,202.205,84661.84615384616,83791.0,82876.0,65.0,,,,22.037499999999994,0.0,5.4,2.3333333333333335,3.3333333333333335,22.0
2007,5,40,Monaco Grand Prix,monaco-grand-prix,2007-05-27,6,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1,hamilton,44,HAM,Lewis Hamilton,British,1,mclaren,McLaren,McLaren,2,2.0,1:15.685,1:15.479,1:15.905,75685.0,75479.0,75905.0,75479.0,2,2,2,8.0,78,6033424.0,Finished,2.0,1:15.372,75372.0,159.528,77351.58974358975,76772.5,75372.0,78.0,,,,23.004166666666663,0.0,2.9,2.25,3.5,30.0
2007,6,41,Canadian Grand Prix,canadian-grand-prix,2007-06-10,7,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,1,hamilton,44,HAM,Lewis Hamilton,British,1,mclaren,McLaren,McLaren,1,1.0,1:16.576,1:15.486,1:15.707,76576.0,75486.0,75707.0,75486.0,1,1,1,10.0,70,6251292.0,Finished,2.0,1:16.494,76494.0,205.239,89304.17142857143,77572.0,76494.0,70.0,,,,22.6375,0.0,5.9,2.2,3.2,38.0
2007,7,42,United States Grand Prix,united-states-grand-prix,2007-06-17,19,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,1,hamilton,44,HAM,Lewis Hamilton,British,1,mclaren,McLaren,McLaren,1,1.0,1:12.563,1:12.065,1:12.331,72563.0,72065.0,72331.0,72065.0,1,1,1,10.0,73,5469965.0,Finished,2.0,1:13.222,73222.0,206.101,74931.02739726027,74197.0,73222.0,73.0,,,,30.4375,0.0,19.4,1.8,2.6,42.0
2007,8,43,French Grand Prix,french-grand-prix,2007-07-01,8,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,1,hamilton,44,HAM,Lewis Hamilton,British,1,mclaren,McLaren,McLaren,2,2.0,1:14.805,1:14.795,1:15.104,74805.0,74795.0,75104.0,74795.0,3,3,3,6.0,70,5486353.0,Finished,4.0,1:16.587,76587.0,207.34,78376.47142857143,77275.0,76587.0,70.0,,,,,,,1.6,2.0,44.0
2007,9,44,British Grand Prix,british-grand-prix,2007-07-08,9,silverstone,Silverstone Circuit,Silverstone,UK,1,hamilton,44,HAM,Lewis Hamilton,British,1,mclaren,McLaren,McLaren,1,1.0,1:19.885,1:19.400,1:19.997,79885.0,79400.0,79997.0,79400.0,3,3,3,6.0,59,4942447.0,Finished,4.0,1:21.675,81675.0,226.6,83770.28813559322,82918.0,81675.0,59.0,,,,17.21666666666667,0.0,18.7,1.8,2.0,42.0
2007,10,45,European Grand Prix,european-grand-prix,2007-07-22,20,nurburgring,Nürburgring,Nürburg,Germany,1,hamilton,44,HAM,Lewis Hamilton,British,1,mclaren,McLaren,McLaren,10,10.0,1:31.587,1:31.185,1:33.833,91587.0,91185.0,93833.0,91185.0,9,9,9,0.0,59,,+1 Lap,3.0,1:33.401,93401.0,198.421,128796.93220338984,95219.0,93401.0,59.0,,,,,,,2.0,1.4,40.0
2007,11,46,Hungarian Grand Prix,hungarian-grand-prix,2007-08-05,11,hungaroring,Hungaroring,Budapest,Hungary,1,hamilton,44,HAM,Lewis Hamilton,British,1,mclaren,McLaren,McLaren,1,2.0,1:19.570,1:19.301,1:19.781,79570.0,79301.0,79781.0,79301.0,1,1,1,10.0,70,5752991.0,Finished,2.0,1:20.171,80171.0,196.724,82185.58571428571,81411.0,80171.0,70.0,,,,23.008333333333336,0.0,5.4,3.4,3.0,32.0
2007,12,47,Turkish Grand Prix,turkish-grand-prix,2007-08-26,5,istanbul,Istanbul Park,Istanbul,Turkey,1,hamilton,44,HAM,Lewis Hamilton,British,1,mclaren,McLaren,McLaren,2,2.0,1:27.513,1:26.936,1:27.373,87513.0,86936.0,87373.0,86936.0,5,5,5,4.0,58,5247246.0,Finished,3.0,1:27.963,87963.0,218.464,90469.75862068965,89190.0,87963.0,58.0,,,,,,,3.4,3.0,32.0
