team,engine_supplier,overall_reliability,engine_reliability,gearbox_reliability,electrical_reliability,cooling_reliability,hydraulic_reliability,operational_reliability
Red Bull Racing,Red Bull Ford,0.85,0.83,0.87,0.84,0.83,0.83,0.88
Ferrari,Ferrari,0.98,0.95,0.95,0.95,0.94,0.95,0.98
Mercedes,Mercedes,0.95,0.93,0.92,0.9,0.9,0.9,0.93
McLaren,Mercedes,0.91,0.92,0.91,0.89,0.89,0.89,0.92
Aston Martin,Honda,0.58,0.67,0.89,0.66,0.65,0.65,0.69
Alpine,Mercedes,0.86,0.9,0.87,0.83,0.82,0.82,0.86
Williams,Mercedes,0.88,0.91,0.89,0.85,0.85,0.85,0.88
Racing Bulls,Red Bull Ford,0.84,0.83,0.86,0.83,0.82,0.82,0.86
Audi,Audi,0.78,0.76,0.8,0.77,0.76,0.76,0.82
Cadillac,Ferrari,0.8,0.85,0.82,0.78,0.78,0.78,0.8
Haas,Ferrari,0.86,0.87,0.87,0.84,0.83,0.83,0.87
