round,circuit,laps,power_sensitivity,downforce_sensitivity,overtaking_ease,tyre_stress,brake_stress,safety_car_rate,dnf_stress,street_factor,weather_variability
1,Australia,58,0.6,0.7,0.5,0.55,0.5,0.45,0.45,0.4,0.5
2,China,56,0.7,0.6,0.65,0.65,0.6,0.4,0.5,0.2,0.45
3,Japan,53,0.5,0.9,0.35,0.85,0.55,0.3,0.65,0.1,0.55
4,Miami,57,0.8,0.55,0.75,0.6,0.65,0.5,0.55,0.7,0.65
5,Canada,70,0.75,0.5,0.8,0.55,0.75,0.6,0.6,0.75,0.55
6,Monaco,78,0.25,1.0,0.05,0.4,0.4,0.7,0.65,1.0,0.4
7,Spain,66,0.6,0.85,0.45,0.8,0.6,0.3,0.5,0.1,0.35
8,Austria,71,0.85,0.55,0.75,0.6,0.75,0.35,0.55,0.1,0.5
9,Great Britain,52,0.65,0.9,0.5,0.75,0.6,0.35,0.5,0.1,0.7
10,Belgium,44,0.85,0.7,0.7,0.65,0.6,0.4,0.6,0.15,0.7
11,Hungary,70,0.35,0.9,0.25,0.8,0.55,0.35,0.5,0.05,0.45
12,Netherlands,72,0.45,0.95,0.2,0.75,0.5,0.45,0.5,0.15,0.55
13,Italy,53,1.0,0.3,0.7,0.5,0.65,0.25,0.5,0.05,0.3
14,Madrid,57,0.65,0.75,0.55,0.7,0.65,0.45,0.55,0.55,0.4
15,Azerbaijan,51,0.95,0.4,0.8,0.5,0.7,0.6,0.65,0.9,0.45
16,Singapore,62,0.3,0.95,0.3,0.9,0.75,0.7,0.75,0.95,0.6
17,USA Austin,56,0.65,0.8,0.6,0.75,0.65,0.4,0.55,0.1,0.45
18,Mexico,71,0.9,0.6,0.7,0.6,0.65,0.4,0.65,0.1,0.5
19,Brazil,71,0.6,0.85,0.65,0.75,0.65,0.55,0.65,0.15,0.75
20,Las Vegas,50,1.0,0.25,0.85,0.4,0.6,0.45,0.55,0.8,0.25
21,Qatar,57,0.75,0.85,0.4,0.95,0.7,0.3,0.6,0.05,0.2
22,Abu Dhabi,58,0.65,0.7,0.6,0.6,0.6,0.25,0.45,0.45,0.2
